price,total_sqft,location,area_type,size,availability,bath,balcony,society,SwimmingPool,ShoppingMall,School,CarParking,Hospital
4065999,701,Manapakkam,Plot  Area,1 Bedroom,Ready To Move,2,1,SawyerW,0,0,0,0,0
6500000,1350,Madipakkam,Super built-up  Area,2 BHK,19-Sep,2,1,NWAmes,0,0,0,0,0
5500000,785,Thiruvanmiyur,Plot  Area,8 Bedroom,Ready To Move,2,1,Edwards,0,0,0,0,0
3500000,538,Ramapuram,Super built-up  Area,2 BHK,Ready To Move,1,1,StoneBr,1,0,0,1,0
17000000,1361,Saidapet,Super built-up  Area,2 BHK,20-Sep,2,1,CollgCr,1,0,0,0,0
2499000,677,Avadi,Plot  Area,2 Bedroom,Ready To Move,2,1,Mitchel,0,0,1,1,1
4165999,868,Pammal,Built-up  Area,2 BHK,Ready To Move,2,1,Edwards,0,0,0,0,0
4875000,920,Madipakkam,Super built-up  Area,2 BHK,Ready To Move,2,1,Gilbert,0,0,0,0,0
3442000,850,Poonamallee,Super built-up  Area,3 BHK,18-Mar,2,1,CollgCr,0,0,0,0,0
4165000,850,Pammal,Built-up  Area,3 BHK,Ready To Move,2,1,NAmes,0,0,0,0,0
5298000,1019,Pallavaram,Super built-up  Area,2 BHK,Ready To Move,2,1,Edwards,0,0,0,0,0
5184000,1080,Pammal,Super built-up  Area,3 BHK,Ready To Move,3,1,CollgCr,0,0,0,0,0
10000000,1943,Maraimalai Nagar,Super built-up  Area,2 BHK,Ready To Move,3,1,NWAmes,1,0,0,0,0
6225000,1245,Madambakkam,Built-up  Area,4 Bedroom,20-Feb,3,1,NridgHt,0,0,0,1,0
5599000,817,Perungudi,Super built-up  Area,2 BHK,Ready To Move,2,1,NoRidge,0,0,0,0,0
6100000,1185,Iyappanthangal,Plot  Area,6 Bedroom,Ready To Move,3,1,NridgHt,0,0,0,1,0
2960000,779,Kolapakkam,Super built-up  Area,2 BHK,Ready To Move,2,1,Crawfor,0,0,0,1,0
7200000,1330,Villivakkam,Plot  Area,3 Bedroom,Ready To Move,2,1,StoneBr,0,0,0,0,0
35000000,2011,Adyar,Super built-up  Area,2 BHK,Ready To Move,4,1,IDOTRR,0,0,0,0,0
4998000,1112,Navallur,Plot  Area,4 Bedroom,Ready To Move,2,1,OldTown,0,0,0,0,0
3400000,612,Moolacheri,Built-up  Area,2 BHK,Ready To Move,2,0,OldTown,1,0,0,1,0
6500000,900,Chromepet,Built-up  Area,8 Bedroom,Ready To Move,2,1,NAmes,0,0,0,0,0
8675000,1641,Nandambakkam,Super built-up  Area,2 BHK,Ready To Move,3,0,ClearCr,0,0,0,0,0
6259000,963,Anna Nagar,Super built-up  Area,2 BHK,18-Apr,2,0,Gilbert,0,0,0,0,0
3400000,1062,Kelambakkam,Super built-up  Area,2 BHK,Ready To Move,3,1,NAmes,1,1,1,1,1
12000000,940,Vadapalani,Plot  Area,8 Bedroom,Ready To Move,2,1,MeadowV,0,0,0,0,0
5999000,1400,Kumananchavadi,Super built-up  Area,2 BHK,Ready To Move,3,1,NAmes,0,0,0,0,0
10400000,1671,Thoraipakkam OMR,Plot  Area,3 Bedroom,Ready To Move,3,1,NAmes,0,0,0,0,0
8000000,1952,Sholinganallur,Super built-up  Area,2 BHK,20-Aug,3,1,NWAmes,0,0,0,0,0
5003000,944,Sholinganallur,Super built-up  Area,3 BHK,Ready To Move,2,1,Edwards,0,0,0,0,0
4192000,975,Porur,Super built-up  Area,2 BHK,18-Apr,1,0,Edwards,0,0,0,0,0
5500000,1060,Periyapanicheri,Super built-up  Area,3 BHK,Ready To Move,3,1,CollgCr,0,0,0,0,0
9110000,1481,Perungudi,Super built-up  Area,2 BHK,Ready To Move,3,1,Crawfor,0,0,0,1,0
3377000,965,Selaiyur,Super built-up  Area,2 BHK,Ready To Move,2,1,OldTown,0,0,0,0,0
5978000,2100 - 2850,Manikandan Nagar,Built-up  Area,3 BHK,Ready To Move,3,1,NAmes,0,0,0,0,0
6000000,1219,Porur,Built-up  Area,2 BHK,Ready To Move,3,1,CollgCr,0,0,0,0,0
12000000,1300,Kodambakkam,Built-up  Area,6 Bedroom,Ready To Move,2,0,CollgCr,0,0,0,0,0
9086000,1298,Velachery,Super built-up  Area,3 BHK,Ready To Move,3,1,NWAmes,0,0,0,0,0
9500000,1900,Sholinganallur,Built-up  Area,4 Bedroom,18-Oct,3,0,Sawyer,1,0,0,0,0
5500000,1213,East Tambaram,Super built-up  Area,2 BHK,19-Mar,3,1,CollgCr,0,0,0,1,0
20000000,1560,Gopalapuram,Super built-up  Area,3 BHK,Ready To Move,3,0,NAmes,0,0,0,0,0
17500000,2325,Navallur,Super built-up  Area,3 BHK,Ready To Move,3,1,Gilbert,1,0,1,1,0
6800000,1389,Mevalurkuppam,Built-up  Area,6 Bedroom,Ready To Move,3,0,SawyerW,1,0,0,1,0
6463000,1250,Medavakkam,Super built-up  Area,3 BHK,Ready To Move,3,1,MeadowV,0,0,0,0,0
6409999,1603,Avadi,Super built-up  Area,2 BHK,17-Sep,3,1,Somerst,1,0,0,0,0
5000000,1000,Sunnambu Kolathur S Kolathur,Super built-up  Area,2 BHK,Ready To Move,2,0,Edwards,0,0,0,0,0
5261000,1238,Perumbakkam,Plot  Area,6 Bedroom,Ready To Move,3,0,Somerst,0,0,0,0,0
3083000,801,Cholambedu,Built-up  Area,2 BHK,Ready To Move,2,1,NAmes,0,0,0,0,0
6409999,1603,Avadi,Super built-up  Area,2 BHK,18-Dec,3,1,Somerst,1,0,0,0,0
3000000,789,Urapakkam,Super built-up  Area,3 BHK,Ready To Move,2,0,SWISU,0,0,0,0,0
43000000,2533,Raja Annamalai Puram,Plot  Area,4 Bedroom,Ready To Move,3,1,NAmes,1,0,0,1,0
4153000,923,Madhavaram,Super built-up  Area,2 BHK,17-Aug,2,1,NAmes,0,0,0,0,0
13200000,2000,Perungudi,Super built-up  Area,3 BHK,Ready To Move,3,1,CollgCr,0,0,0,0,0
3850000,960,Madipakkam,Plot  Area,4 Bedroom,Ready To Move,2,1,IDOTRR,0,0,0,1,0
19300000,1170,Besant Nagar,Super built-up  Area,3 BHK,Ready To Move,2,1,StoneBr,0,0,0,0,0
9000000,1471,Medavakkam,Built-up  Area,2 BHK,Ready To Move,3,1,BrkSide,1,0,0,0,0
6500000,1181,Peerakankaranai,Built-up  Area,3 Bedroom,Ready To Move,3,1,NWAmes,0,0,0,0,0
3072000,768,Nanmangalam,Super built-up  Area,3 BHK,Ready To Move,2,1,SWISU,0,0,0,0,0
4800000,657,Jamalia,Built-up  Area,2 BHK,Ready To Move,2,1,NAmes,0,0,0,0,0
7400000,1187,Iyappanthangal,Plot  Area,3 Bedroom,Ready To Move,3,1,NAmes,0,0,0,1,0
2500000,700,Avadi,Super built-up  Area,2 BHK,Ready To Move,2,1,NAmes,0,0,1,1,1
4100000,954,Nanmangalam,Super built-up  Area,2 BHK,Ready To Move,2,0,BrDale,0,0,0,0,0
3032000,722,Nanmangalam,Super built-up  Area,2 BHK,Ready To Move,2,1,NoRidge,0,0,0,0,0
9746000,1645,Sholinganallur,Built-up  Area,3 BHK,Ready To Move,3,1,SawyerW,1,0,0,0,0
6203000,1443,Perumbakkam,Built-up  Area,3 BHK,Ready To Move,3,0,Gilbert,1,1,1,1,1
3500000,894,Guduvancheri,Built-up  Area,2 BHK,Ready To Move,2,1,Gilbert,0,0,0,0,0
7936000,1323,Chromepet,Super built-up  Area,2 BHK,19-Apr,3,0,NridgHt,0,0,0,0,0
4000000,745,Sembakkam,Super built-up  Area,3 BHK,Ready To Move,2,0,Gilbert,0,0,0,0,0
2800000,560,Adambakkam,Super built-up  Area,3 BHK,Ready To Move,1,1,NWAmes,0,0,0,0,0
43099999,2056,Nungambakkam,Super built-up  Area,2 BHK,Ready To Move,2,1,NAmes,1,0,0,0,0
10000000,920,T Nagar,Super built-up  Area,3 BHK,Ready To Move,3,1,NAmes,0,0,0,0,0
9000000,1250,K K Nagar,Built-up  Area,4 Bedroom,Ready To Move,2,1,OldTown,1,0,0,0,0
3881000,721,Ambattur,Built-up  Area,3 Bedroom,Ready To Move,2,1,NridgHt,0,0,0,0,0
3300000,855,Perumbakkam,Super built-up  Area,3 BHK,Ready To Move,2,1,Gilbert,0,0,0,1,0
11700000,1569,Valasaravakkam,Super built-up  Area,3 BHK,18-Dec,3,1,Sawyer,0,0,0,0,0
13600000,850,Anna Nagar,Super built-up  Area,2 BHK,18-Jun,2,1,Sawyer,1,0,0,0,0
7000000,1140,Porur,Plot  Area,2 Bedroom,Ready To Move,2,0,NAmes,1,0,0,0,0
2771000,660,Perungalathur,Super built-up  Area,3 BHK,Ready To Move,1,1,IDOTRR,0,0,0,0,0
2699000,643,Perungalathur,Super built-up  Area,3 BHK,Ready To Move,1,0,CollgCr,0,0,0,0,0
5022000,1196,Perungalathur,Super built-up  Area,4 BHK,18-Mar,2,0,Edwards,0,0,0,0,0
2657000,633,Perungalathur,Built-up  Area,4 BHK,Ready To Move,1,1,Edwards,0,0,0,0,0
3888000,926,Perungalathur,Super built-up  Area,3 BHK,22-Dec,2,1,Gilbert,0,0,0,0,0
2729000,650,Perungalathur,Built-up  Area,2 BHK,Ready To Move,1,1,NAmes,0,0,0,0,0
8108000,1931,Perungalathur,Built-up  Area,3 BHK,Ready To Move,3,1,Blmngtn,0,0,0,0,0
3306000,538,Karapakkam,Super built-up  Area,2 BHK,22-Jan,1,0,Gilbert,1,0,0,1,0
8248999,1314,Karapakkam,Super built-up  Area,2 BHK,Ready To Move,3,1,Gilbert,1,0,0,1,0
6447000,1027,Karapakkam,Plot  Area,7 Bedroom,Ready To Move,2,1,OldTown,1,0,0,1,0
8525000,1358,Karapakkam,Built-up  Area,3 BHK,Ready To Move,3,1,SWISU,1,0,0,1,0
6428000,1024,Karapakkam,Plot  Area,3 Bedroom,Ready To Move,2,1,Mitchel,1,0,0,1,0
16800000,2686,Karapakkam,Super built-up  Area,2 BHK,Ready To Move,4,1,OldTown,1,0,0,1,0
9799000,1561,Karapakkam,Plot  Area,4 Bedroom,Ready To Move,3,1,SawyerW,1,0,0,1,0
8136000,1296,Karapakkam,Super built-up  Area,3 BHK,Ready To Move,3,1,Gilbert,1,0,0,1,0
9831000,1566,Karapakkam,Built-up  Area,2 BHK,Ready To Move,3,1,BrkSide,1,0,0,1,0
11399999,1829,Karapakkam,Super built-up  Area,2 BHK,18-Aug,3,0,NAmes,1,0,0,1,0
9818000,1564,Karapakkam,Super built-up  Area,2 BHK,19-Mar,3,1,Sawyer,1,0,0,1,0
8462000,1348,Karapakkam,Super built-up  Area,3 BHK,18-May,3,1,Mitchel,1,0,0,1,0
12200000,1944,Karapakkam,Super built-up  Area,3 BHK,19-Jan,3,1,BrkSide,1,0,0,1,0
16500000,2640,Karapakkam,Built-up  Area,8 Bedroom,Ready To Move,4,1,NAmes,1,0,0,1,0
3372999,549,Karapakkam,Super built-up  Area,5 BHK,19-Dec,1,1,NWAmes,1,0,0,1,0
16500000,2630,Karapakkam,Super built-up  Area,3 BHK,Ready To Move,4,1,CollgCr,1,0,0,1,0
16399999,2616,Karapakkam,Super built-up  Area,2 BHK,Ready To Move,4,1,Sawyer,1,0,0,1,0
10000000,1599,Karapakkam,Super built-up  Area,2 BHK,17-Jul,3,1,Edwards,1,0,0,1,0
42900000,6600,Thiruvidandhai,Super built-up  Area,7 BHK,Ready To Move,4,0,BrkSide,1,0,0,0,0
23400000,3600,Thiruvidandhai,Super built-up  Area,3 BHK,Ready To Move,4,0,SawyerW,1,0,0,0,0
6834000,1140,Iyappanthangal,Super built-up  Area,2 BHK,Ready To Move,2,0,Crawfor,1,0,0,0,0
6773999,1130,Iyappanthangal,Super built-up  Area,3 BHK,Ready To Move,2,0,OldTown,1,0,0,0,0
7194000,1200,Iyappanthangal,Plot  Area,6 Bedroom,Ready To Move,2,0,OldTown,1,0,0,0,0
3990000,855,Mevalurkuppam,Super built-up  Area,3 BHK,19-Apr,2,0,NAmes,1,0,0,1,0
3806000,635,Iyappanthangal,Super built-up  Area,2 BHK,Ready To Move,1,0,Edwards,1,0,0,0,0
7044000,1175,Iyappanthangal,Super built-up  Area,3 BHK,18-May,2,0,Crawfor,1,0,0,0,0
9861000,1645,Iyappanthangal,Super built-up  Area,3 BHK,Ready To Move,3,1,IDOTRR,1,0,0,0,0
7014000,1170,Iyappanthangal,Super built-up  Area,2 BHK,Ready To Move,2,1,NAmes,1,0,0,0,0
10500000,1760,Iyappanthangal,Super built-up  Area,2 BHK,18-Jul,3,1,Veenker,1,0,0,0,0
10400000,1740,Iyappanthangal,Super built-up  Area,2 BHK,Ready To Move,3,1,NAmes,1,0,0,0,0
7134000,1190,Iyappanthangal,Super built-up  Area,3 BHK,Ready To Move,2,1,NridgHt,1,0,0,0,0
10300000,1730,Iyappanthangal,Super built-up  Area,3 BHK,Ready To Move,3,1,Somerst,1,0,0,0,0
7295999,1536,Madhavaram,Plot  Area,4 Bedroom,Ready To Move,3,1,NWAmes,1,0,0,0,0
6360000,1339,Madhavaram,Built-up  Area,3 BHK,Ready To Move,2,1,NPkVill,1,0,0,0,0
8507000,1791,Madhavaram,Super built-up  Area,2 BHK,18-May,3,1,Crawfor,1,0,0,0,0
5500000,936,Kolapakkam,Super built-up  Area,3 BHK,Ready To Move,2,1,Sawyer,1,0,0,1,0
7550000,1179,Kolapakkam,Built-up  Area,4 Bedroom,Ready To Move,3,1,Sawyer,1,0,0,1,0
5735000,988,Kolapakkam,Super built-up  Area,3 BHK,Ready To Move,2,1,Veenker,1,0,0,1,0
5560000,955,Kolapakkam,Super built-up  Area,2 BHK,18-Dec,2,1,NridgHt,1,0,0,1,0
7700000,1224,Kolapakkam,Super built-up  Area,3 BHK,Ready To Move,3,1,CollgCr,1,0,0,1,0
5580000,958,Kolapakkam,Super built-up  Area,3 BHK,Ready To Move,2,1,Gilbert,1,0,0,1,0
5520000,948,Kolapakkam,Built-up  Area,2 BHK,Ready To Move,2,1,Edwards,1,0,0,1,0
2397000,648,Kundrathur,Built-up  Area,3 BHK,Ready To Move,2,1,NoRidge,0,0,0,1,0
3746000,625,Iyappanthangal,Super built-up  Area,6 BHK,Ready To Move,1,1,Mitchel,1,0,0,0,0
7253000,1210,Iyappanthangal,Super built-up  Area,1 BHK,Ready To Move,2,1,NAmes,1,0,0,0,0
7283000,1215,Iyappanthangal,Super built-up  Area,2 BHK,18-Apr,2,1,Somerst,1,0,0,0,0
10900000,1790,Iyappanthangal,Super built-up  Area,3 BHK,Ready To Move,3,1,ClearCr,1,0,0,0,0
7056999,1502,Kanathur Reddikuppam,Super built-up  Area,3 BHK,Ready To Move,3,1,Crawfor,1,0,0,0,0
29200000,5037,Kanathur Reddikuppam,Plot  Area,3 Bedroom,Ready To Move,5,1,NoRidge,1,0,0,0,0
29500000,5093,Kanathur Reddikuppam,Plot  Area,5 Bedroom,Ready To Move,5,1,Mitchel,1,0,0,0,0
8763000,1865,Kanathur Reddikuppam,Plot  Area,1 Bedroom,Ready To Move,3,1,OldTown,1,0,0,0,0
6025000,1076,Pammal,Super built-up  Area,1 BHK,Ready To Move,2,1,Crawfor,0,0,0,0,0
5768000,1030,Pammal,Built-up  Area,2 BHK,Ready To Move,2,1,Edwards,0,0,0,0,0
4547000,812,Pammal,Super built-up  Area,2 BHK,Ready To Move,2,1,Timber,0,0,0,0,0
5208000,930,Pammal,Super built-up  Area,3 BHK,Ready To Move,2,1,Crawfor,0,0,0,0,0
7280000,1300,Pammal,Super built-up  Area,3 BHK,Ready To Move,3,1,NoRidge,0,0,0,0,0
6495000,1382,Puzhal,Super built-up  Area,3 BHK,21-Jun,3,1,OldTown,1,0,0,1,0
6791000,1445,Puzhal,Super built-up  Area,2 BHK,Ready To Move,3,1,Timber,1,0,0,1,0
7289000,1551,Puzhal,Plot  Area,3 Bedroom,Ready To Move,3,1,Edwards,1,0,0,1,0
7642000,1626,Puzhal,Super built-up  Area,2 BHK,Ready To Move,3,1,OldTown,1,0,0,1,0
4641000,753,Selaiyur,Built-up  Area,2 BHK,Ready To Move,2,1,NoRidge,0,0,0,0,0
4907000,801,Selaiyur,Super built-up  Area,2 BHK,Ready To Move,2,1,CollgCr,0,0,0,0,0
4685000,761,Selaiyur,Super built-up  Area,2 BHK,Ready To Move,2,1,Gilbert,0,0,0,0,0
4498000,727,Selaiyur,Built-up  Area,4 Bedroom,18-Dec,2,1,Mitchel,0,0,0,0,0
4812000,784,Selaiyur,Super built-up  Area,3 BHK,Ready To Move,2,1,Somerst,0,0,0,0,0
11000000,1431,Thoraipakkam OMR,Plot  Area,4 Bedroom,Ready To Move,3,1,OldTown,1,0,0,1,0
11500000,1494,Thoraipakkam OMR,Plot  Area,7 Bedroom,Ready To Move,3,1,Mitchel,1,0,0,1,0
10000000,1296,Thoraipakkam OMR,Super built-up  Area,2 BHK,Ready To Move,3,1,Sawyer,1,0,0,1,0
10000000,1302,Thoraipakkam OMR,Super built-up  Area,2 BHK,Ready To Move,3,1,Gilbert,1,0,0,1,0
11000000,1432,Thoraipakkam OMR,Super built-up  Area,2 BHK,Ready To Move,3,1,Gilbert,1,0,0,1,0
10500000,1367,Thoraipakkam OMR,Built-up  Area,3 Bedroom,Ready To Move,3,1,OldTown,1,0,0,1,0
10400000,1349,Thoraipakkam OMR,Super built-up  Area,3 BHK,Ready To Move,3,1,CollgCr,1,0,0,1,0
12000000,1551,Thoraipakkam OMR,Super built-up  Area,2 BHK,Ready To Move,3,1,Sawyer,1,0,0,1,0
11500000,1485,Thoraipakkam OMR,Super built-up  Area,2 BHK,Ready To Move,3,1,NAmes,1,0,0,1,0
10400000,1353,Thoraipakkam OMR,Super built-up  Area,3 BHK,Ready To Move,3,1,CollgCr,1,0,0,1,0
10400000,1352,Thoraipakkam OMR,Built-up  Area,2 BHK,Ready To Move,3,1,BrkSide,1,0,0,1,0
10800000,1396,Thoraipakkam OMR,Super built-up  Area,2 BHK,Ready To Move,3,1,CollgCr,1,0,0,1,0
6504000,1239,Karapakkam,Built-up  Area,3 BHK,Ready To Move,2,1,NWAmes,1,0,0,1,0
8646000,1647,Karapakkam,Super built-up  Area,3 BHK,Ready To Move,3,1,SawyerW,1,0,0,1,0
6452000,1229,Karapakkam,Super built-up  Area,3 BHK,Ready To Move,2,1,SawyerW,1,0,0,1,0
8494000,1618,Karapakkam,Super built-up  Area,2 BHK,Ready To Move,3,1,CollgCr,1,0,0,1,0
6441000,1227,Karapakkam,Built-up  Area,2 BHK,Ready To Move,2,1,NAmes,1,0,0,1,0
6462000,1231,Karapakkam,Plot  Area,4 Bedroom,Ready To Move,2,1,Somerst,1,0,0,1,0
6456999,1230,Karapakkam,Super built-up  Area,4 BHK,20-May,2,1,SawyerW,1,0,0,1,0
8421000,1604,Karapakkam,Super built-up  Area,3 BHK,Ready To Move,3,1,Gilbert,1,0,0,1,0
6342000,1208,Karapakkam,Built-up  Area,3 BHK,18-Jun,2,1,Edwards,1,0,0,1,0
2766000,527,Karapakkam,Super built-up  Area,3 BHK,Ready To Move,1,1,Sawyer,1,0,0,1,0
9357000,1671,Thoraipakkam OMR,Super built-up  Area,3 BHK,Ready To Move,3,1,NAmes,0,0,0,0,0
8431000,1606,Karapakkam,Super built-up  Area,2 BHK,Ready To Move,3,1,Sawyer,1,0,0,1,0
10200000,1827,Thoraipakkam OMR,Built-up  Area,6 Bedroom,Ready To Move,4,1,Sawyer,0,0,0,0,0
8473000,1614,Karapakkam,Super built-up  Area,1 BHK,Ready To Move,3,1,Somerst,1,0,0,1,0
6300000,1200,Karapakkam,Super built-up  Area,3 BHK,Ready To Move,2,1,BrkSide,1,0,0,1,0
8657000,1546,Thoraipakkam OMR,Super built-up  Area,3 BHK,18-Dec,3,1,BrDale,0,0,0,0,0
8237000,1569,Karapakkam,Super built-up  Area,3 BHK,Ready To Move,3,1,NAmes,1,0,0,1,0
8131000,1452,Thoraipakkam OMR,Super built-up  Area,3 BHK,Ready To Move,2,1,Sawyer,0,0,0,0,0
3013000,574,Karapakkam,Built-up  Area,4 BHK,Ready To Move,1,1,NAmes,1,0,0,1,0
3024000,576,Karapakkam,Super built-up  Area,2 BHK,19-Mar,1,1,NAmes,1,0,0,1,0
7201000,1286,Thoraipakkam OMR,Super built-up  Area,3 BHK,19-Dec,2,1,Gilbert,0,0,0,0,0
6909000,1316,Karapakkam,Super built-up  Area,3 BHK,Ready To Move,2,1,NAmes,1,0,0,1,0
8680000,1550,Thoraipakkam OMR,Built-up  Area,2 BHK,Ready To Move,3,1,Somerst,0,0,0,0,0
8158000,1554,Karapakkam,Plot  Area,2 Bedroom,Ready To Move,3,1,NAmes,1,0,0,1,0
7956999,1421,Thoraipakkam OMR,Super built-up  Area,3 BHK,Ready To Move,2,1,NridgHt,0,0,0,0,0
2971000,566,Karapakkam,Super built-up  Area,2 BHK,19-Aug,1,1,NAmes,1,0,0,1,0
6762000,1288,Karapakkam,Super built-up  Area,2 BHK,Ready To Move,2,1,Sawyer,1,0,0,1,0
7218000,1289,Thoraipakkam OMR,Super built-up  Area,2 BHK,Ready To Move,2,1,NAmes,0,0,0,0,0
2982000,568,Karapakkam,Super built-up  Area,2 BHK,Ready To Move,1,1,NAmes,1,0,0,1,0
8205000,1563,Karapakkam,Built-up  Area,2 BHK,Ready To Move,3,1,NAmes,1,0,0,1,0
8920000,1593,Thoraipakkam OMR,Super built-up  Area,2 BHK,Ready To Move,3,1,SWISU,0,0,0,0,0
6834999,1302,Karapakkam,Super built-up  Area,3 BHK,Ready To Move,2,1,Crawfor,1,0,0,1,0
8556000,1528,Thoraipakkam OMR,Super built-up  Area,2 BHK,18-Apr,3,1,NridgHt,0,0,0,0,0
2961000,564,Karapakkam,Super built-up  Area,3 BHK,21-Jun,1,1,CollgCr,1,0,0,1,0
11500000,1846,Mogappair,Built-up  Area,5 Bedroom,Ready To Move,3,1,SawyerW,1,0,0,0,0
11500000,1850,Mogappair,Built-up  Area,2 BHK,Ready To Move,3,1,Timber,1,0,0,0,0
4140000,920,Mugalivakkam,Super built-up  Area,1 BHK,18-Aug,2,1,CollgCr,0,0,1,1,0
4284000,952,Mugalivakkam,Plot  Area,8 Bedroom,Ready To Move,2,1,Somerst,0,0,1,1,0
4275000,950,Mugalivakkam,Super built-up  Area,1 BHK,18-Sep,2,1,NWAmes,0,0,1,1,0
4009000,891,Mugalivakkam,Super built-up  Area,3 BHK,Ready To Move,2,1,NridgHt,0,0,1,1,0
4302000,956,Mugalivakkam,Super built-up  Area,2 BHK,Ready To Move,2,1,Crawfor,0,0,1,1,0
4077000,906,Mugalivakkam,Plot  Area,3 Bedroom,Ready To Move,2,1,NWAmes,0,0,1,1,0
4441000,987,Mugalivakkam,Super built-up  Area,2 BHK,Ready To Move,2,1,Somerst,0,0,1,1,0
4468000,993,Mugalivakkam,Super built-up  Area,3 BHK,Ready To Move,2,1,Mitchel,0,0,1,1,0
