area_type,availability,location,size,society,total_sqft,bath,balcony,price
Plot  Area,Ready To Move,Chalikkavattom,4 Bedroom,NridgHt,1600,5,3,9600000
Built-up  Area,Ready To Move,Eroor South,2 BHK,OldTown,1955,2,2,11730000
Built-up  Area,Ready To Move,Fortkochi,8 Bedroom,,1550,8,0,9300000
Super built-up  Area,Ready To Move,Kadungalloor,2 BHK,NridgHt,4820,2,1,28920000
Super built-up  Area,18-Apr,Kathrikadavu Railway Over Bridge,2 BHK,NAmes,1843,2,3,11058000
Super built-up  Area,Ready To Move,Mini Bypass Tripunithura Road,2 BHK,CollgCr,3640,2,1,21840000
Plot  Area,Ready To Move,Ponekkara,8 Bedroom,OldTown,3000,7,0,18000000
Super built-up  Area,Ready To Move,Puthencruz,2 BHK,ClearCr,4500,2,1,27000000
Plot  Area,Ready To Move,Chilavannoor,3 Bedroom,NAmes,1300,3,2,7800000
Super built-up  Area,20-Aug,Thrikkakara North,2 BHK,Mitchel,1000,2,1,6000000
Super built-up  Area,Ready To Move,Vazhakkulam,3 BHK,Gilbert,2000,3,1,12000000
Super built-up  Area,18-Apr,North Paravoor,2 BHK,NAmes,1700,2,1,10200000
Super built-up  Area,Ready To Move,Athani Mundapalam Road,3 BHK,OldTown,1800,3,2,10800000
Super built-up  Area,Ready To Move,Chakkaraparambu,2 BHK,MeadowV,1200,2,1,7200000
Super built-up  Area,Ready To Move,Chembumukku Road,2 BHK,NAmes,1200,2,3,7200000
Built-up  Area,Ready To Move,Choornikkara,3 BHK,BrkSide,1700,3,3,10200000
Built-up  Area,Ready To Move,Chullickal,2 BHK,Sawyer,1650,1,0,9900000
Built-up  Area,Ready To Move,Elamakkara Road,6 Bedroom,OldTown,1500,6,3,9000000
Super built-up  Area,Ready To Move,Elamkulam Bridge,3 BHK,NAmes,2500,2,2,15000000
Built-up  Area,18-Oct,Ernakulam North Kathrikadavu,4 Bedroom,Mitchel,2500,,,15000000
Super built-up  Area,19-Mar,Eroor Rd,2 BHK,Somerst,2460,2,2,14760000
Super built-up  Area,Ready To Move,Ettumanoor Ernakulam Rd,3 BHK,NAmes,2800,2,2,16800000
Super built-up  Area,Ready To Move,Gandhi Nagar,3 BHK,,2466,5,2,14796000
Built-up  Area,Ready To Move,Hill Palace Road,6 Bedroom,NoRidge,1650,7,2,9900000
Super built-up  Area,Ready To Move,Irumpanam,3 BHK,Gilbert,810,3,2,4860000
Super built-up  Area,17-Sep,Kadavanthara Road,2 BHK,Somerst,1250,2,2,7500000
Super built-up  Area,Ready To Move,Kakkanad,2 BHK,IDOTRR,3654,2,2,21924000
Plot  Area,Ready To Move,Kakkanad NGO Quarters Road,6 Bedroom,CollgCr,3800,6,3,22800000
Built-up  Area,Ready To Move,Kakkanad Road,2 BHK,NAmes,1456,2,2,8736000
Super built-up  Area,18-Dec,Kaladi,2 BHK,NAmes,2456,2,1,14736000
Super built-up  Area,Ready To Move,Kannamkulangara Road,3 BHK,Crawfor,3654,2,2,21924000
Plot  Area,Ready To Move,Karukutty,4 Bedroom,OldTown,2250,4,2,13500000
Super built-up  Area,17-Aug,Kochi Madurai Dhanushkodi Road,2 BHK,CollgCr,4500,2,3,27000000
Super built-up  Area,Ready To Move,Kollamkudimugal,3 BHK,Gilbert,2000,3,2,12000000
Plot  Area,Ready To Move,KP Vallon Road,4 Bedroom,CollgCr,1600,4,1,9600000
Super built-up  Area,Ready To Move,Mulavukad,3 BHK,Edwards,5000,2,1,30000000
Built-up  Area,Ready To Move,Muppathadam Road,2 BHK,Edwards,5500,2,1,33000000
Built-up  Area,Ready To Move,Muttambalam Village Kottayam,3 Bedroom,NAmes,4500,3,1,27000000
Super built-up  Area,Ready To Move,Muvattupuzha,3 BHK,NWAmes,3500,3,3,21000000
Built-up  Area,Ready To Move,Naroth Road,2 BHK,SawyerW,2957 - 3450,1,1,32456000
Plot  Area,Ready To Move,Nettoor,3 Bedroom,SawyerW,1000,2,1,6000000
Super built-up  Area,Ready To Move,Pachalam,2 BHK,CollgCr,1350,2,2,8100000
Super built-up  Area,Ready To Move,Palluruthy,2 BHK,IDOTRR,1435,2,2,8610000
Super built-up  Area,Ready To Move,Panchayat Road,2 BHK,,1900,2,2,11400000
Built-up  Area,Ready To Move,Periyar Nagar,3 BHK,OldTown,1800,2,1,10800000
Built-up  Area,Ready To Move,Pinarmunda Infopark Short Road,3 BHK,OldTown,1500,3,2,9000000
Built-up  Area,Ready To Move,Poonithura,2 BHK,IDOTRR,1800,2,2,10800000
Super built-up  Area,19-Apr,Pukkattupady Road,2 BHK,NWAmes,1000,2,2,6000000
Super built-up  Area,Ready To Move,Pullepady,3 BHK,Edwards,1300,3,3,7800000
Super built-up  Area,Ready To Move,Puthiya Road,3 BHK,Gilbert,3000,2,2,18000000
Super built-up  Area,Ready To Move,Salem Kochi Highway,2 BHK,CollgCr,1500,2,1,9000000
Super built-up  Area,Ready To Move,Satellite Township Padamughal,3 BHK,Crawfor,1800,2,1,10800000
Built-up  Area,Ready To Move,SRM Road,4 Bedroom,Crawfor,2000,4,1,12000000
Built-up  Area,Ready To Move,Thevara Ferry Road,3 Bedroom,,5000,3,2,30000000
Super built-up  Area,Ready To Move,Vidya Nagar Colony Thrikkakara,3 BHK,,2500,2,3,15000000
Super built-up  Area,18-Dec,Warriyam Road,3 BHK,Edwards,1500,3,1,9000000
Super built-up  Area,18-Jun,Ayyappankavu,2 BHK,SawyerW,1300,2,2,7800000
Plot  Area,Ready To Move,Valummel,2 Bedroom,CollgCr,1050,3,3,6300000
Super built-up  Area,Ready To Move,Edakochi,3 BHK,ClearCr,1600,3,2,9600000
Super built-up  Area,Ready To Move,Panayappilly,3 BHK,IDOTRR,1200,3,1,7200000
Super built-up  Area,18-Mar,South Chittoor,4 BHK,NAmes,3500,4,0,21000000
Built-up  Area,Ready To Move,Eloor,4 BHK,SawyerW,1350,4,2,8100000
Super built-up  Area,22-Dec,Kunnathunad,3 BHK,NWAmes,3067 - 8156,2,2,1524600
Built-up  Area,Ready To Move,Veliyathunadu,2 BHK,IDOTRR,1900,2,1,11400000
Built-up  Area,Ready To Move,Koonammavu,3 BHK,NPkVill,1800,3,2,10800000
Super built-up  Area,22-Jan,Puthenkurish,2 BHK,OldTown,3500,2,1,21000000
Super built-up  Area,Ready To Move,Kunnukara,2 BHK,NAmes,4800,2,1,28800000
Plot  Area,Ready To Move,Kolenchery,7 Bedroom,NAmes,5000,7,0,30000000
Built-up  Area,Ready To Move,A z a d Road,3 BHK,NAmes,1300,3,3,7800000
Plot  Area,Ready To Move,Alappuzha,3 Bedroom,Gilbert,2000,3,1,12000000
Super built-up  Area,Ready To Move,Alappuzha Arthunkal Kochi Road,2 BHK,NAmes,1258,1,1,7548000
Plot  Area,Ready To Move,Alfiya Nagar,4 Bedroom,Timber,1800,4,0,10800000
Super built-up  Area,Ready To Move,Alinchuvadu,3 BHK,Sawyer,1600,3,2,9600000
Built-up  Area,Ready To Move,Alwaye,2 BHK,NWAmes,1385,2,1,8310000
Super built-up  Area,18-Aug,Ambalamedu,2 BHK,NAmes,2500,2,1,15000000
Super built-up  Area,19-Mar,Ambelipadam Road,2 BHK,Mitchel,2000,2,0,12000000
Super built-up  Area,18-May,Amrita Nagar,3 BHK,CollgCr,1300,3,1,7800000
Super built-up  Area,19-Jan,Aroor,3 BHK,CollgCr,4500,2,2,27000000
Built-up  Area,Ready To Move,Azad Road,8 Bedroom,NAmes,1600,8,,9600000
Super built-up  Area,19-Dec,Block Office Road,5 BHK,CollgCr,1000,5,1,6000000
Super built-up  Area,Ready To Move,Bolghatty Palace Island Resort,3 BHK,NAmes,1630,3,1,9780000
Super built-up  Area,Ready To Move,Brahmapuram,2 BHK,CollgCr,2000,2,1,12000000
Super built-up  Area,17-Jul,Cannon Shed Road,2 BHK,Sawyer,1600,2,1,9600000
Super built-up  Area,Ready To Move,CBI Road,7 BHK,Edwards,1350,7,2,8100000
Super built-up  Area,Ready To Move,Chakkalakkal,3 BHK,BrkSide,1500,3,,9000000
Super built-up  Area,Ready To Move,Chakkalapadam Road,2 BHK,Gilbert,1600,2,1,9600000
Super built-up  Area,Ready To Move,Chakkarapparambu Road,3 BHK,SawyerW,2900,3,3,17400000
Plot  Area,Ready To Move,Changampuzha Nagar,6 Bedroom,BrkSide,1200,5,,7200000
Super built-up  Area,19-Apr,Changampuzha Park Road,3 BHK,CollgCr,2255,4,2,13530000
Super built-up  Area,Ready To Move,Chavakkadu Kochi,2 BHK,NridgHt,1042 - 1105,2,1,2546780
Super built-up  Area,18-May,Chembakara,3 BHK,NWAmes,1500,2,3,9000000
Super built-up  Area,Ready To Move,Chembumukku,3 BHK,ClearCr,1600,4,,9600000
Super built-up  Area,Ready To Move,Cherthala Taluk Alappuzha,2 BHK,OldTown,2700,2,2,16200000
Super built-up  Area,18-Jul,Chilavannur,2 BHK,Edwards,1200,2,1,7200000
Super built-up  Area,Ready To Move,Chitrapuzha Road,2 BHK,NAmes,4600,2,2,27600000
Super built-up  Area,Ready To Move,Chittethukara,3 BHK,Timber,1650,3,3,9900000
Super built-up  Area,Ready To Move,Chunangamvely,3 BHK,Somerst,5520,3,1,33120000
Plot  Area,Ready To Move,Cochin College Road,4 Bedroom,Gilbert,3900,4,0,23400000
Built-up  Area,Ready To Move,Convent Road,3 BHK,Veenker,1800,2,3,10800000
Super built-up  Area,18-May,Deshabhimani,2 BHK,NridgHt,4500,2,1,27000000
Super built-up  Area,Ready To Move,Desom,3 BHK,NridgHt,1551,3,1,9306000
Built-up  Area,Ready To Move,Echamuku,4 Bedroom,OldTown,1600,4,2,9600000
Super built-up  Area,Ready To Move,Elamana Road,3 BHK,OldTown,1955,3,1,11730000
Super built-up  Area,18-Dec,Eroor Road,2 BHK,Edwards,1550,2,0,9300000
Super built-up  Area,Ready To Move,FACT Nagar,3 BHK,ClearCr,4820,2,2,28920000
Super built-up  Area,Ready To Move,Gandhinagar Road,3 BHK,NridgHt,1843,2,1,11058000
Built-up  Area,Ready To Move,Good Earth Lane,2 BHK,Gilbert,3640,2,1,21840000
Built-up  Area,Ready To Move,HMT Colony,3 BHK,Timber,3000,2,2,18000000
Super built-up  Area,Ready To Move,HMT Colony Road,6 BHK,OldTown,4500,6,0,27000000
Super built-up  Area,Ready To Move,HMT Kalamassery,1 BHK,NAmes,1300,1,1,7800000
Super built-up  Area,18-Apr,Idukki,2 BHK,StoneBr,1000,2,1,6000000
Super built-up  Area,Ready To Move,Janatha Road,3 BHK,NAmes,2000,2,1,12000000
Super built-up  Area,Ready To Move,Jawahar Nagar,3 BHK,Timber,1700,3,3,10200000
Plot  Area,Ready To Move,Jaya Nagar,3 Bedroom,Edwards,1800,3,2,10800000
Plot  Area,Ready To Move,Journalist Colony,5 Bedroom,ClearCr,1200,3,2,7200000
Plot  Area,Ready To Move,Judgemukku Thrikkakara,1 Bedroom,Sawyer,1200,1,0,7200000
Super built-up  Area,Ready To Move,Kaipadamugal,1 BHK,StoneBr,1700,1,2,10200000
Built-up  Area,Ready To Move,Kakkanad Junction Road,2 BHK,OldTown,1145 - 1340,1,1,15260000
Super built-up  Area,Ready To Move,Kalabhavan Road,2 BHK,Somerst,1500,2,3,9000000
Super built-up  Area,Ready To Move,Kaloor Kadavanthara Road,3 BHK,Crawfor,2500,3,2,15000000
Super built-up  Area,Ready To Move,Kangarappady Navodaya Road,3 BHK,Edwards,2500,3,2,15000000
Super built-up  Area,21-Jun,Karikkamuri,3 BHK,OldTown,2460,3,2,14760000
Super built-up  Area,Ready To Move,Karimugal,2 BHK,BrkSide,2800,2,1,16800000
Plot  Area,Ready To Move,Karimugal Kaninadu Road,3 Bedroom,OldTown,2466,3,2,14796000
Super built-up  Area,Ready To Move,Karingachira,2 BHK,Mitchel,1650,2,2,9900000
Built-up  Area,Ready To Move,Karippassery,2 BHK,OldTown,810,2,1,4860000
Super built-up  Area,Ready To Move,Karshaka Road,2 BHK,SawyerW,1250,2,0,7500000
Super built-up  Area,Ready To Move,Karthikapally Taluk Alappuzha,2 BHK,StoneBr,3654,2,2,21924000
Built-up  Area,18-Dec,Kasargod,4 Bedroom,Crawfor,3800,4,1,22800000
Super built-up  Area,Ready To Move,KB Jacob Road,3 BHK,NAmes,1456,2,3,8736000
Plot  Area,Ready To Move,Kochangadi,4 Bedroom,CollgCr,2456,5,,14736000
Plot  Area,Ready To Move,Kochi Metropolitan Area,7 Bedroom,Edwards,3654,7,1,21924000
Super built-up  Area,Ready To Move,Kochi Road,2 BHK,CollgCr,2250,2,2,13500000
Super built-up  Area,Ready To Move,Kongorpilly Olanad Road,2 BHK,NPkVill,4500,2,2,27000000
Super built-up  Area,Ready To Move,Kothamangalam,2 BHK,Somerst,2000,2,2,12000000
Built-up  Area,Ready To Move,Kottayam Kochi,3 Bedroom,NAmes,1600,3,1,9600000
Super built-up  Area,Ready To Move,Kozhikode,3 BHK,OldTown,5000,3,2,30000000
Super built-up  Area,Ready To Move,Kumaranasan Road,2 BHK,NridgHt,5500,2,1,33000000
Super built-up  Area,Ready To Move,Kumarapuram Temple Road,2 BHK,Edwards,4500,2,2,27000000
Super built-up  Area,Ready To Move,Kumbalam,3 BHK,Mitchel,2500,2,1,15000000
Built-up  Area,Ready To Move,Kunnumpuram,2 BHK,OldTown,1200,2,2,7200000
Super built-up  Area,Ready To Move,Kuthukuzhi,2 BHK,CollgCr,1000,2,1,6000000
Built-up  Area,Ready To Move,Kyomtha Seminary Road,3 BHK,OldTown,1145 - 1340,2,2,7895200
Super built-up  Area,Ready To Move,LakeshoreMadavana Service Road,3 BHK,Gilbert,1435,2,2,8610000
Super built-up  Area,Ready To Move,Layam Road,3 BHK,Sawyer,1900,3,2,11400000
Super built-up  Area,Ready To Move,Link Park Lane,2 BHK,NAmes,1800,2,1,10800000
Built-up  Area,Ready To Move,Lisie Hospital Road,2 BHK,SawyerW,1500,2,2,9000000
Plot  Area,Ready To Move,Malikampeedika,4 Bedroom,NAmes,1800,6,0,10800000
Super built-up  Area,20-May,Mallapally Taluk Pathanamthitta,4 BHK,Edwards,1000,4,1,6000000
Super built-up  Area,Ready To Move,Mallapuram,3 BHK,Edwards,1300,3,2,7800000
Built-up  Area,18-Jun,Mannarakkara Road,3 BHK,Somerst,3000,3,2,18000000
Super built-up  Area,Ready To Move,Marine drive,3 BHK,CollgCr,1500,3,2,9000000
Super built-up  Area,Ready To Move,Market Road,3 BHK,CollgCr,1800,3,3,10800000
Super built-up  Area,Ready To Move,Marottichuvadu,2 BHK,NAmes,2000,2,1,12000000
Built-up  Area,Ready To Move,Mattanchery,6 Bedroom,CollgCr,5000,6,0,30000000
Super built-up  Area,Ready To Move,Medical Centre Road,1 BHK,OldTown,2500,1,1,15000000
Super built-up  Area,Ready To Move,Medical College NAD Road,3 BHK,Crawfor,1500,3,3,9000000
Super built-up  Area,18-Dec,Menaka-MARINE DRIVE,3 BHK,Blmngtn,1300,3,2,7800000
Super built-up  Area,Ready To Move,MLA Road,3 BHK,CollgCr,1050,3,2,6300000
Super built-up  Area,Ready To Move,Mundampalam,3 BHK,Gilbert,1600,2,3,9600000
Built-up  Area,Ready To Move,Mundamveli,4 BHK,NWAmes,1200,4,1,7200000
Super built-up  Area,19-Mar,Munnar,2 BHK,NAmes,3500,2,1,21000000
Super built-up  Area,19-Dec,Muthukulam Village Kochi,3 BHK,NridgHt,1350,,,8100000
Super built-up  Area,Ready To Move,Navodaya North Millumpady,3 BHK,BrDale,4350,4,2,26100000
Built-up  Area,Ready To Move,Nethaji Nagar,2 BHK,NoRidge,1900,2,2,11400000
Plot  Area,Ready To Move,NGO Quarters Kochi,2 Bedroom,BrDale,1800,2,1,10800000
Super built-up  Area,Ready To Move,NGO Quarters Mavelipuram Road,3 BHK,Sawyer,3500,3,2,21000000
Super built-up  Area,19-Aug,Nh Byepass,2 BHK,Blmngtn,4800,2,1,28800000
Super built-up  Area,Ready To Move,Njarackal,2 BHK,NAmes,5000,2,2,30000000
Super built-up  Area,Ready To Move,Njarakkal,2 BHK,NoRidge,1300,2,2,7800000
Super built-up  Area,Ready To Move,North Janatha Road,2 BHK,BrDale,2000,2,2,12000000
Built-up  Area,Ready To Move,North Kalamassery,2 BHK,CollgCr,1258,2,2,7548000
Super built-up  Area,Ready To Move,Ottapalam,2 BHK,Gilbert,1145 - 1340,2,2,8950000
Super built-up  Area,Ready To Move,Padivattom,3 BHK,BrDale,1600,2,1,9600000
Super built-up  Area,18-Apr,Palachuvadu,2 BHK,CollgCr,1385,2,2,8310000
Super built-up  Area,21-Jun,Palakkad,3 BHK,SawyerW,2500,3,1,15000000
Built-up  Area,Ready To Move,Pallimugal Rd,5 Bedroom,NridgHt,2000,5,2,12000000
Built-up  Area,Ready To Move,Panampilly Nagar Link Road,2 BHK,Edwards,1300,2,2,7800000
Super built-up  Area,18-Aug,Panangad,1 BHK,Somerst,4500,1,1,27000000
Plot  Area,Ready To Move,Paravur,8 Bedroom,OldTown,1600,8,2,9600000
Super built-up  Area,18-Sep,Pathadipalam,1 BHK,OldTown,1000,1,1,6000000
Super built-up  Area,Ready To Move,Pathirapally Village Ambalapuzha,3 BHK,SawyerW,1630,3,3,9780000
Super built-up  Area,Ready To Move,Pattalam Road,2 BHK,SawyerW,2000,2,3,12000000
Plot  Area,Ready To Move,Perumbaikadu Village Kottayam,3 Bedroom,NWAmes,1600,3,1,9600000
Super built-up  Area,Ready To Move,Pipeline Road,2 BHK,OldTown,1350,2,1,8100000
Super built-up  Area,Ready To Move,Ponnurunni,3 BHK,NAmes,1500,3,1,9000000
Plot  Area,17-May,Pottakuzhi Mamangalam Road,3 Bedroom,CollgCr,1600,3,2,9600000
Super built-up  Area,Ready To Move,PT Usha Road,3 BHK,ClearCr,2900,3,2,17400000
Super built-up  Area,Ready To Move,Pulikillam East Road,2 BHK,BrkSide,1200,1,1,7200000
Built-up  Area,Ready To Move,Puthenpally,2 BHK,Crawfor,2255,2,2,13530000
Super built-up  Area,Ready To Move,PuthiyaKavu Valavu Road,2 BHK,SawyerW,1400,2,2,8400000
Super built-up  Area,18-Jun,Puthukkalavattom Road,2 BHK,NAmes,1500,2,2,9000000
Built-up  Area,Ready To Move,Rameshwaram Village,2 Bedroom,NAmes,1600,2,1,9600000
Plot  Area,Ready To Move,Ravipuram,4 Bedroom,Gilbert,2700,2,0,16200000
Built-up  Area,Ready To Move,Residential House Kurambala,2 BHK,Somerst,1200,2,2,7200000
Super built-up  Area,17-Jun,Seaport Airport Road,2 BHK,CollgCr,4600,2,1,27600000
Plot  Area,Ready To Move,Smartcity Road,5 Bedroom,CollgCr,1650,5,,9900000
Super built-up  Area,Ready To Move,SN Junction Over Bridge,3 BHK,OldTown,5520,3,2,33120000
Plot  Area,Ready To Move,Society Road,4 Bedroom,NAmes,3900,3,2,23400000
Super built-up  Area,Ready To Move,South Kalamassery,3 BHK,CollgCr,1800,3,2,10800000
Super built-up  Area,Ready To Move,St James Church Rd,2 BHK,Sawyer,4500,2,2,27000000
Super built-up  Area,Ready To Move,Stadium Link Road,2 BHK,OldTown,1551,2,1,9306000
Super built-up  Area,Ready To Move,Stadium Road,2 BHK,OldTown,1600,2,2,9600000
Built-up  Area,Ready To Move,Stadium Round,4 Bedroom,NWAmes,1955,4,0,11730000
Super built-up  Area,Ready To Move,TD Road,3 BHK,Gilbert,1550,3,2,9300000
Super built-up  Area,18-Oct,Thamaramkulangara Road,3 BHK,SWISU,4820,2,2,28920000
Super built-up  Area,Ready To Move,Thattampady,2 BHK,IDOTRR,1843,1,1,11058000
Super built-up  Area,Ready To Move,Thiruvaniyoor,3 BHK,Edwards,3640,3,2,21840000
Super built-up  Area,Ready To Move,Thoppumpady,2 BHK,Somerst,3000,2,1,18000000
Super built-up  Area,21-Dec,Thottumugham,3 BHK,ClearCr,4500,3,2,27000000
Built-up  Area,Ready To Move,Thrippunithura,2 BHK,NoRidge,1300,2,1,7800000
Plot  Area,Ready To Move,Thuthiyoor Road,2 Bedroom,NAmes,1000,2,1,6000000
Super built-up  Area,Ready To Move,Trichur,3 BHK,Mitchel,2000,2,3,12000000
Super built-up  Area,Ready To Move,Uliyannoor,3 BHK,BrkSide,1700,3,2,10200000
Super built-up  Area,Ready To Move,Unichira Kochi,2 BHK,Mitchel,1800,2,1,10800000
Plot  Area,Ready To Move,Unnichira Koonamthai,4 Bedroom,Gilbert,1200,4,2,7200000
Super built-up  Area,Ready To Move,Vadakkekotta Kochi,3 BHK,NridgHt,1200,3,3,7200000
Super built-up  Area,Ready To Move,Vadasserikkara Village Ranni,3 BHK,ClearCr,1700,3,3,10200000
Built-up  Area,Ready To Move,Valanjambalam,2 BHK,SawyerW,1650,2,1,9900000
Built-up  Area,Ready To Move,Valappu,3 BHK,Somerst,1500,2,1,9000000
Plot  Area,Ready To Move,Vallarpadam Church Road,6 Bedroom,NridgHt,2500,6,0,15000000
Built-up  Area,Ready To Move,Vallikavu Road,3 BHK,Somerst,2500,3,1,15000000
Super built-up  Area,Ready To Move,Veli Road,3 BHK,SawyerW,2460,2,1,14760000
Super built-up  Area,18-Aug,Vidya Nagar Colony,3 BHK,Somerst,2800,2,2,16800000
Built-up  Area,Ready To Move,Kakkanad,2 BHK,NAmes,2466,2,1,14796000
Super built-up  Area,Ready To Move,Pukkattupady,3 BHK,NAmes,1650,2,2,9900000
Super built-up  Area,Ready To Move,Kaloor,2 BHK,Sawyer,810,2,2,4860000
Super built-up  Area,18-Jul,Aluva,2 BHK,BrkSide,1250,2,2,7500000
Super built-up  Area,21-May,Edappally,2 BHK,CollgCr,3654,2,1,21924000
Super built-up  Area,Ready To Move,Marine Drive,2 BHK,SWISU,3800,2,2,22800000
Super built-up  Area,Ready To Move,Eroor,2 BHK,Edwards,1456,2,2,8736000
Super built-up  Area,Ready To Move,Kadavanthra,2 BHK,NWAmes,2456,2,1,14736000
Super built-up  Area,Ready To Move,Thripunithura,2 BHK,NAmes,3654,2,1,21924000
