area_type,price,total_sqft,location,size,availability,bath,balcony,SwimmingPool,society,JoggingTrack,RainWaterHarvesting,IndoorGames,ShoppingMall,Intercom,SportsFacility,ATM,ClubHouse,School,24X7Security,PowerBackup,CarParking,StaffQuarter,Cafeteria,MultipurposeRoom,Hospital,WashingMachine,Gasconnection,AC,Wifi,Children'splayarea,LiftAvailable,BED,VaastuCompliant,Microwave,GolfCourse,TV,DiningTable,Sofa,Wardrobe,Refrigerator
Built-up  Area,4866000,1179,Kannur on Thanisandra Main Road,2 BHK,Ready To Move,2,1,1,Gentson,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Super built-up  Area,8358000,2100 - 2850,Doddanekundi,3 BHK,19-Dec,3,0,0,Soini T,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Super built-up  Area,6845000,1670,Kengeri,1 BHK,Ready To Move,1,1,1,Ceove G,1,1,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Plot  Area,6797000,1220,Horamavu,1 Bedroom,Ready To Move,1,1,1,,1,1,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Super built-up  Area,20000000,2502,Thanisandra,2 BHK,19-Sep,2,1,1,Soazak ,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Plot  Area,7105000,1438,Ramamurthy Nagar,8 Bedroom,Ready To Move,9,1,0,,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Super built-up  Area,8405000,1405,Whitefield Hope Farm Junction,2 BHK,Ready To Move,2,1,1,LancyRe,1,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Super built-up  Area,3506000,660,Electronic City Phase 1,2 BHK,20-Sep,2,1,1,Goted U,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Plot  Area,7700000,1362,Yelahanka,2 Bedroom,Ready To Move,1,1,1,,1,1,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Built-up  Area,9369000,1735,Anjanapura,2 BHK,Ready To Move,2,1,1,,1,1,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Super built-up  Area,8716000,1575,Jalahalli,2 BHK,Ready To Move,2,1,1,Bhncyis,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Super built-up  Area,5394000,1120,Kasavanahalli,3 BHK,18-Mar,3,1,1,Rosha I,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Built-up  Area,6367000,1415,Whitefield Hope Farm Junction,3 BHK,Ready To Move,3,1,1,Suent V,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Super built-up  Area,5080000,1270,Bommasandra,2 BHK,Ready To Move,2,1,1,RothaVa,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Super built-up  Area,7209999,1311,Bellandur,3 BHK,Ready To Move,2,1,1,NCowsar,1,1,1,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Super built-up  Area,5700000,1210,RR Nagar,2 BHK,Ready To Move,2,1,1,Dhalsh ,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Built-up  Area,12400000,1705,Whitefield Hope Farm Junction,4 Bedroom,20-Feb,,1,1,BrereAt,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Super built-up  Area,4900000,1187,Begur,2 BHK,Ready To Move,2,1,1,PeBayle,1,1,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Plot  Area,5080000,1270,Bommasandra,6 Bedroom,Ready To Move,4,1,1,,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Super built-up  Area,9630000,2293,Kannur on Thanisandra Main Road,2 BHK,Ready To Move,2,1,1,,1,1,1,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Plot  Area,9458000,1726,Hosa Road,3 Bedroom,Ready To Move,3,1,1,,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Super built-up  Area,23700000,2470,Sahakar Nagar,2 BHK,Ready To Move,2,1,1,Laavevi,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0
Plot  Area,7363000,1570,Kadugodi,4 Bedroom,Ready To Move,5,1,1,Chranya,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Built-up  Area,5489000,1120,Jakkur,2 BHK,Ready To Move,2,0,0,HioraTr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Built-up  Area,4216000,1506,Jigani,8 Bedroom,Ready To Move,8,1,1,,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Super built-up  Area,4368000,1040,Krishnarajapura,2 BHK,Ready To Move,2,0,0,,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Super built-up  Area,7600000,1150,Brookefield,2 BHK,18-Apr,2,0,0,BMineis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Super built-up  Area,4545000,1045,Horamavu,2 BHK,Ready To Move,2,1,0,,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Plot  Area,23100000,2480,Banashankari,8 Bedroom,Ready To Move,7,1,1,,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
Super built-up  Area,8000000,1160,RR Nagar,2 BHK,Ready To Move,2,1,1,,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Plot  Area,4514000,1143,RR Nagar,3 Bedroom,Ready To Move,3,1,1,,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Super built-up  Area,5460000,1300,RR Nagar,2 BHK,20-Aug,2,1,1,Pruthg ,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Super built-up  Area,4414000,966,Nelamangala,3 BHK,Ready To Move,3,1,1,Sonosty,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Super built-up  Area,8868000,1245,Begur,2 BHK,18-Apr,2,0,0,SNnia E,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Super built-up  Area,6133000,1275,Ramamurthy Nagar,3 BHK,Ready To Move,3,1,0,Anavi B,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Super built-up  Area,3038000,1085,Attibele,2 BHK,Ready To Move,2,1,1,,1,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Super built-up  Area,7100000,1286,Nelamangala,2 BHK,Ready To Move,2,1,1,,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Built-up  Area,7506999,1155,Banaswadi,3 BHK,Ready To Move,3,1,1,Viony H,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Built-up  Area,6520000,1304,Whitefield Hope Farm Junction,2 BHK,Ready To Move,1,1,1,,1,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Built-up  Area,6389000,1120,Kodigehalli,6 Bedroom,Ready To Move,6,0,0,,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Super built-up  Area,11700000,2017,ITPL,3 BHK,Ready To Move,2,1,1,AdentEl,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Built-up  Area,5600000,1340,Uttarahalli Hobli,4 Bedroom,18-Oct,,0,0,Gollela,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1
Super built-up  Area,4562000,1304,Electronic City Phase 1,2 BHK,19-Mar,2,1,1,Niareum,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Super built-up  Area,2951000,649,Ramamurthy Nagar,3 BHK,Ready To Move,2,0,0,,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Super built-up  Area,4264000,1108,Krishnarajapura,3 BHK,Ready To Move,5,1,1,SJlynro,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Built-up  Area,6698000,1675,Krishnarajapura,6 Bedroom,Ready To Move,7,0,0,,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Super built-up  Area,8100000,1330.74,Chikkagubbi on Hennur Main Road,3 BHK,Ready To Move,3,1,1,,1,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Super built-up  Area,4500000,1075,Kasavanahalli,2 BHK,17-Sep,2,1,1,Tavenew,0,0,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0
Super built-up  Area,4928000,1120,Varthur,2 BHK,Ready To Move,2,0,0,Srire S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Plot  Area,6100000,1350,Vidyaranyapura,6 Bedroom,Ready To Move,6,0,0,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Built-up  Area,6151000,1404,Electronic City Phase 2,2 BHK,Ready To Move,2,1,1,Saenti ,1,1,1,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Super built-up  Area,5426000,1080,Begur,2 BHK,18-Dec,2,1,1,,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Super built-up  Area,13000000,1800,J. P. Nagar,3 BHK,Ready To Move,2,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Plot  Area,4850000,1060,K. Chudahalli,4 Bedroom,Ready To Move,4,1,0,,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Super built-up  Area,4604000,1540,Narayanaghatta,2 BHK,17-Aug,2,1,1,Bhmesy ,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Super built-up  Area,3607000,1110,Anekal City,3 BHK,Ready To Move,3,1,1,,1,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Plot  Area,16500000,1645,Sahakar Nagar,4 Bedroom,Ready To Move,4,1,1,Goardth,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Super built-up  Area,4840000,1345,Sarjapur,3 BHK,Ready To Move,2,1,0,,1,1,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Built-up  Area,25800000,1866,Koramangala,2 BHK,Ready To Move,2,1,1,,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Built-up  Area,51000000,3500,Hebbal,3 Bedroom,Ready To Move,3,1,1,,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Super built-up  Area,4809000,1145,Electronic City Phase 1,3 BHK,Ready To Move,3,1,1,IBityin,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Built-up  Area,5070000,935,Budigere Cross,2 BHK,Ready To Move,1,1,1,KHityry,1,1,1,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Plot  Area,10500000,1455,Bommanahalli,3 Bedroom,Ready To Move,2,1,1,BDensar,1,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1
Super built-up  Area,6850000,1305,Uttarahalli Hobli,2 BHK,Ready To Move,2,1,0,Makeser,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
Super built-up  Area,4580000,1145,Varthur,2 BHK,Ready To Move,2,0,1,Maest N,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Super built-up  Area,5559000,1635,Whitefield Hope Farm Junction,2 BHK,Ready To Move,2,1,1,,1,1,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Built-up  Area,4723000,1145,RR Nagar,3 BHK,Ready To Move,2,1,0,,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Built-up  Area,4465000,1175,Krishnarajapura,3 BHK,Ready To Move,3,0,0,Brway G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Built-up  Area,8954000,1216,Varthur,2 BHK,Ready To Move,2,1,1,,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0
Super built-up  Area,4000000,1005,Electronics City,2 BHK,19-Apr,2,0,0,Oznuean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Super built-up  Area,5400000,1200,Chikkalasandra,3 BHK,Ready To Move,3,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Super built-up  Area,8784000,1279,Kogilu,3 BHK,Ready To Move,2,1,1,Reeroce,1,1,1,0,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Super built-up  Area,7900000,1180,Nayandahalli,2 BHK,Ready To Move,2,1,1,Sonviik,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0
Super built-up  Area,4781000,1310,Electronic City Phase 2,3 BHK,Ready To Move,2,1,1,DSgmax ,1,1,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Built-up  Area,15000000,1776,Bilekahalli,4 Bedroom,Ready To Move,4,1,1,,1,1,1,0,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Built-up  Area,4700000,1125,Horamavu,3 Bedroom,Ready To Move,3,1,0,Cetattu,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Super built-up  Area,7767000,1195,Muneshwara Nagar,3 BHK,Ready To Move,2,1,1,Vaens G,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Super built-up  Area,6487000,1272,Thanisandra,3 BHK,18-Dec,3,1,1,,1,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Super built-up  Area,14000000,2170,Junnasandra,2 BHK,18-Jun,2,1,1,,1,1,0,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Plot  Area,8758000,1510,RR Nagar,2 Bedroom,Ready To Move,3,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Super built-up  Area,13100000,1846,Narayanapura on Hennur Main Road,3 BHK,Ready To Move,3,1,1,Moity S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Super built-up  Area,5500000,1170,Kothanur,3 BHK,Ready To Move,3,0,0,HiahsLa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Super built-up  Area,4900000,1215,Kadugodi Industrial Area,4 BHK,18-Mar,4,0,0,SNontle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
