id,area_type,price,total_sqft,location,size,availability,bath,balcony,society,YearBuilt,YearRemodAdd,MoSold,YrSold,MSSubClass,LotFrontage,1stFlrSF,2ndFlrSF,Gymnasium,LandscapedGardens,ATM,School,CarParking,Hospital,OverallQual,OverallCond,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea
28,Built-up  Area,13500000,1800,Sector 5 Dwarka,3 BHK,20-Dec,1,1,NridgHt,2007,2008,5,2010,20,98,1704,0,1,0,0,0,0,0,8,5,200,1218,0,486,1704,1704,0,0,1704
29,Super built-up  Area,6500000,1000,Sector 23 Rohini,2 BHK,17-Oct,2,1,NAmes,1957,1997,12,2020,20,47,1600,0,0,0,0,0,1,0,5,6,0,1277,0,207,1484,1600,0,0,1600
30,Super built-up  Area,12500000,1300,Mayur Vihar II,3 BHK,Ready To Move,1,1,BrkSide,1927,1950,5,2020,30,60,520,0,0,0,0,0,0,0,4,6,0,0,0,520,520,520,0,0,520
31,Super built-up  Area,11000000,1000,Sector 24 Rohini,4 BHK,19-Dec,1,1,IDOTRR,1920,1950,7,2018,70,50,649,668,0,0,0,0,1,0,4,4,0,0,0,649,649,649,668,0,1317
32,Super built-up  Area,12500000,1550,Sector 11 Dwarka,3 BHK,Ready To Move,1,1,Sawyer,1966,2006,6,2019,20,NA,1228,0,0,0,0,0,0,0,5,6,0,0,0,1228,1228,1228,0,0,1228
33,Super built-up  Area,14800000,1800,Sector 23 Dwarka,3 BHK,Ready To Move,1,1,CollgCr,2007,2007,1,2020,20,85,1234,0,0,0,0,0,0,0,8,5,0,0,0,1234,1234,1234,0,0,1234
34,Super built-up  Area,12500000,600,Sector 12 Dwarka,3 BHK,Ready To Move,2,1,NAmes,1959,1959,4,2020,20,70,1700,0,0,0,0,0,0,0,5,5,0,1018,0,380,1398,1700,0,0,1700
35,Built-up  Area,3300000,385,Sector 23 Dwarka,3 BHK,Ready To Move,1,1,NridgHt,2005,2005,8,2019,120,60,1561,0,0,0,0,0,0,0,9,5,246,1153,0,408,1561,1561,0,0,1561
36,Super built-up  Area,110000000,2500,West End,2 BHK,21-Dec,2,1,NridgHt,2004,2005,9,2018,60,108,1132,1320,0,0,0,0,0,0,8,5,132,0,0,1117,1117,1132,1320,0,2452
37,Super built-up  Area,5000000,1000,Dwarka Mor,2 BHK,Ready To Move,3,1,CollgCr,1994,1995,6,2015,20,112,1097,0,0,0,0,0,0,0,5,5,0,0,0,1097,1097,1097,0,0,1097
38,Super built-up  Area,17500000,1300,Sector 9 Rohini,3 BHK,Ready To Move,1,1,NAmes,1954,1990,10,2016,20,74,1297,0,0,0,0,0,0,0,5,6,650,1213,0,84,1297,1297,0,0,1297
39,Super built-up  Area,3600000,1050,Mundka,3 BHK,Ready To Move,1,1,NAmes,1953,2007,1,2020,20,68,1057,0,0,0,0,0,0,0,5,7,0,731,0,326,1057,1057,0,0,1057
40,Built-up  Area,16500000,1600,Sector 6 Dwarka,2 BHK,Ready To Move,1,1,Edwards,1955,1955,6,2020,90,65,1152,0,0,0,0,0,0,0,4,5,0,0,0,0,0,1152,0,0,1152
41,Built-up  Area,12500000,1000,Sector 13 Rohini,2 BHK,Ready To Move,2,1,NAmes,1965,1965,12,2020,20,84,1324,0,0,0,0,0,0,0,6,5,101,643,0,445,1088,1324,0,0,1324
42,Super built-up  Area,2750000,630,Jamia Nagar,3 BHK,19-Dec,2,0,Timber,1959,1959,7,2019,20,115,1328,0,0,0,0,0,0,0,5,6,0,967,0,383,1350,1328,0,0,1328
43,Super built-up  Area,23500000,2000,Sector 19 Dwarka,1 BHK,Ready To Move,1,1,SawyerW,1983,1983,12,2019,85,NA,884,0,0,0,0,0,1,0,5,7,0,747,93,0,840,884,0,0,884
44,Plot  Area,16200000,1600,Sector 10 Dwarka,1 Bedroom,Ready To Move,1,1,CollgCr,1975,1980,7,2018,20,NA,938,0,0,0,0,0,0,0,5,6,0,280,491,167,938,938,0,0,938
45,Super built-up  Area,13500000,1350,Sector 24 Rohini,2 BHK,19-Sep,1,1,NAmes,1959,1959,5,2015,20,70,1150,0,0,1,0,0,1,0,5,6,0,179,506,465,1150,1150,0,0,1150
46,Plot  Area,5500000,1000,Uttam Nagar,8 Bedroom,Ready To Move,1,1,NridgHt,2005,2005,2,2014,120,61,1752,0,0,0,0,0,0,0,9,5,412,456,0,1296,1752,1752,0,0,1752
47,Super built-up  Area,5500000,1000,Dwarka Mor,2 BHK,Ready To Move,2,1,Mitchel,2003,2003,8,2014,50,48,1518,631,0,0,0,0,0,0,7,5,0,1351,0,83,1434,1518,631,0,2149
48,Super built-up  Area,3621000,900,Uttam Nagar,2 BHK,20-Sep,1,1,Somerst,2006,2006,7,2017,20,84,1656,0,0,0,0,0,0,0,8,5,0,24,0,1632,1656,1656,0,0,1656
49,Plot  Area,9200000,1200,Sector 17 Dwarka,2 Bedroom,Ready To Move,2,1,OldTown,1920,2008,6,2017,190,33,736,716,0,0,0,0,0,0,4,5,0,0,0,736,736,736,716,0,1452
50,Built-up  Area,10400000,1125,Sector 23 Rohini,2 BHK,Ready To Move,2,1,Sawyer,1966,1966,1,2017,20,66,955,0,0,0,0,0,1,0,5,7,0,763,0,192,955,955,0,0,955
51,Super built-up  Area,2350000,415,Sector 23 Dwarka,2 BHK,Ready To Move,1,1,Gilbert,1997,1997,7,2018,60,NA,794,676,1,0,0,0,0,0,6,6,0,182,0,612,794,794,676,0,1470
52,Super built-up  Area,8000000,1500,Dwarka Mor,3 BHK,18-Mar,2,1,BrkSide,1934,1950,9,2018,50,52,816,0,0,0,0,0,0,0,6,6,0,0,0,816,816,816,0,360,1176
53,Built-up  Area,3500000,675,Bindapur,3 BHK,Ready To Move,1,1,IDOTRR,1963,1963,5,2016,90,110,816,0,0,0,0,0,0,0,5,5,0,104,712,0,816,816,0,0,816
54,Super built-up  Area,14800000,1750,Sector-18 Dwarka,2 BHK,Ready To Move,1,1,Veenker,1981,1987,11,2016,20,68,1842,0,0,0,0,0,0,0,9,5,0,1810,0,32,1842,1842,0,0,1842
55,Super built-up  Area,8500000,1200,Dwarka Mor,3 BHK,Ready To Move,0,1,NAmes,1955,1955,2,2015,80,60,1360,0,0,0,0,0,1,0,5,5,0,384,0,0,384,1360,0,0,1360
56,Super built-up  Area,45000000,4600,Sector-18 Dwarka,2 BHK,Ready To Move,1,1,NAmes,1964,1964,7,2010,20,100,1425,0,0,0,0,0,0,0,6,5,272,490,0,935,1425,1425,0,0,1425
57,Built-up  Area,17500000,1650,Vasant Kunj,4 Bedroom,20-Feb,2,1,Somerst,1999,2000,8,2020,160,24,983,756,0,1,0,0,1,0,8,5,456,649,0,321,970,983,756,0,1739
58,Super built-up  Area,2700000,540,Dwarka Mor,2 BHK,Ready To Move,2,1,CollgCr,2004,2004,8,2020,60,89,860,860,0,0,0,1,1,1,7,5,0,0,0,860,860,860,860,0,1720
59,Plot  Area,4999000,950,Dwarka Mor,6 Bedroom,Ready To Move,2,1,StoneBr,2006,2006,10,2018,60,66,1426,1519,0,0,0,0,0,0,10,5,1031,0,0,1410,1410,1426,1519,0,2945
60,Super built-up  Area,4699000,850,Dwarka Mor,2 BHK,Ready To Move,3,1,CollgCr,1972,1972,1,2019,20,60,780,0,0,0,0,0,0,0,5,7,0,632,0,148,780,780,0,0,780
61,Plot  Area,3800000,450,Shastri Nagar,3 Bedroom,Ready To Move,1,1,SawyerW,2004,2004,5,2020,20,63,1158,0,0,0,0,0,0,0,6,5,0,941,0,217,1158,1158,0,0,1158
62,Super built-up  Area,15000000,1551,Sector-8 Rohini,2 BHK,Ready To Move,1,1,IDOTRR,1920,1996,3,2020,75,60,581,530,0,1,0,0,1,0,5,7,0,0,0,530,530,581,530,0,1111
63,Plot  Area,3000000,650,Jamia Nagar,4 Bedroom,Ready To Move,1,1,NridgHt,2006,2006,10,2019,120,44,1370,0,0,0,0,0,0,0,8,5,178,24,0,1346,1370,1370,0,0,1370
64,Built-up  Area,5100000,900,Sector 9 Dwarka,2 BHK,Ready To Move,2,0,OldTown,1921,1950,4,2018,70,50,902,808,0,0,0,0,1,0,7,6,0,0,0,576,576,902,808,0,1710
65,Built-up  Area,2350000,550,Uttam Nagar,8 Bedroom,Ready To Move,2,1,CollgCr,1997,1998,2,2015,60,NA,1057,977,0,0,0,0,0,0,7,5,573,739,0,318,1057,1057,977,0,2034
66,Super built-up  Area,5499000,900,Dwarka Mor,2 BHK,Ready To Move,2,0,NridgHt,2004,2005,10,2016,60,76,1143,1330,0,0,0,0,1,0,8,5,344,0,0,1143,1143,1143,1330,0,2473
67,Super built-up  Area,12800000,1843,Shanti Park Dwarka,2 BHK,18-Apr,2,0,NAmes,1970,1989,7,2020,20,NA,2207,0,1,1,0,0,1,0,7,5,287,912,0,1035,1947,2207,0,0,2207
68,Super built-up  Area,2500000,630,Govindpuri,2 BHK,Ready To Move,2,1,CollgCr,2003,2003,6,2020,20,72,1479,0,0,0,0,0,0,0,7,5,167,1013,0,440,1453,1479,0,0,1479
69,Plot  Area,27500000,3000,Sector 22 Dwarka,8 Bedroom,Ready To Move,2,1,OldTown,1945,1950,6,2020,30,47,747,0,1,0,0,0,0,0,4,6,0,0,0,747,747,747,0,0,747
70,Super built-up  Area,3600000,675,Matiala,2 BHK,Ready To Move,1,1,ClearCr,1953,1953,7,2019,50,81,1304,983,0,0,0,0,0,0,7,4,0,603,0,701,1304,1304,983,0,2287
71,Plot  Area,45000000,1300,Saket,3 Bedroom,Ready To Move,2,1,NAmes,1973,1973,2,2019,20,95,2223,0,0,0,0,0,0,0,7,6,1115,1880,0,343,2223,2223,0,0,2223
72,Super built-up  Area,5500000,1000,Uttam Nagar,2 BHK,20-Aug,2,1,Mitchel,1982,2006,6,2018,20,69,845,0,0,0,0,0,1,0,4,6,0,565,0,280,845,845,0,0,845
73,Super built-up  Area,5500000,900,Mahavir Enclave,3 BHK,Ready To Move,1,1,Gilbert,1998,1998,12,2015,60,74,885,833,0,0,0,0,0,0,7,5,40,0,0,832,832,885,833,0,1718
74,Super built-up  Area,16800000,1700,Sector 6 Dwarka,2 BHK,18-Apr,2,0,NAmes,1954,2003,5,2014,20,85,1086,0,1,0,0,0,0,0,5,7,104,320,362,404,1086,1086,0,0,1086
75,Super built-up  Area,3900000,900,Dwarka Mor,3 BHK,Ready To Move,1,1,OldTown,1915,1950,5,2014,50,60,840,765,0,0,0,0,0,0,3,6,0,0,0,840,840,840,765,0,1605
76,Super built-up  Area,4400000,1000,Dwarka Mor,2 BHK,Ready To Move,2,1,MeadowV,1973,1973,11,2017,180,21,526,462,0,0,0,0,0,0,4,5,0,462,0,0,462,526,462,0,988
77,Super built-up  Area,15000000,1200,Sector 23 Dwarka,2 BHK,Ready To Move,1,1,NAmes,1956,1956,4,2017,20,NA,952,0,0,0,0,0,0,0,4,7,0,228,0,724,952,952,0,0,952
78,Built-up  Area,6500000,700,Shastri Nagar,3 BHK,Ready To Move,1,1,BrkSide,1948,2001,1,2017,50,50,1072,213,0,0,0,0,0,0,5,5,0,336,41,295,672,1072,213,0,1285
79,Built-up  Area,2900000,630,Burari,2 BHK,Ready To Move,1,1,Sawyer,1968,1968,4,2018,90,72,1768,0,0,0,0,0,0,0,4,5,0,0,0,1768,1768,1768,0,0,1768
80,Built-up  Area,2100000,540,Burari,6 Bedroom,Ready To Move,2,0,OldTown,1910,1981,5,2018,50,60,682,548,0,0,0,0,0,0,5,6,0,0,0,440,440,682,548,0,1230
81,Super built-up  Area,6200000,1200,Shahdara,3 BHK,Ready To Move,1,1,NAmes,1968,1968,6,2016,60,100,1182,960,0,0,0,0,0,0,6,6,576,448,0,448,896,1182,960,0,2142
82,Built-up  Area,4011000,1000,Uttam Nagar,4 Bedroom,18-Oct,2,0,Mitchel,1998,1998,3,2016,120,32,1337,0,0,0,0,0,0,0,6,5,443,1201,0,36,1237,1337,0,0,1337
83,Super built-up  Area,5300000,850,Babarpur,2 BHK,19-Mar,2,1,Somerst,2007,2007,10,2015,20,78,1563,0,0,0,0,0,0,0,8,5,468,33,0,1530,1563,1563,0,0,1563
84,Super built-up  Area,13500000,1500,Sector 19 Dwarka,3 BHK,Ready To Move,2,0,NAmes,1960,1960,7,2010,20,80,1065,0,0,1,0,0,1,0,5,5,66,0,0,1065,1065,1065,0,0,1065
85,Super built-up  Area,2400000,750,Khanpur,3 BHK,Ready To Move,1,1,Gilbert,1995,1996,5,2009,80,NA,804,670,0,0,0,0,0,0,7,5,22,0,0,384,384,804,670,0,1474
86,Built-up  Area,14500000,1650,Sector 13 Dwarka,6 Bedroom,Ready To Move,2,0,NoRidge,1991,1992,4,2006,60,121,1301,1116,1,0,0,0,1,0,8,5,284,0,0,1288,1288,1301,1116,0,2417
87,Super built-up  Area,4500000,810,Mansa Ram Park,3 BHK,Ready To Move,2,1,Gilbert,2005,2005,3,2009,60,122,684,876,0,0,0,0,0,0,6,5,0,0,0,684,684,684,876,0,1560
88,Super built-up  Area,16000000,1250,Sector 13 Rohini,2 BHK,17-Sep,2,1,Somerst,2009,2009,6,2009,160,40,612,612,0,0,0,0,0,0,6,5,76,0,0,612,612,612,612,0,1224
89,Super built-up  Area,6400000,600,Sector-18 Dwarka,2 BHK,Ready To Move,2,0,IDOTRR,1915,1982,10,2009,50,105,1013,0,0,0,0,0,0,0,3,2,0,0,0,1013,1013,1013,0,513,1526
90,Plot  Area,35000000,3800,Sector 12 Dwarka,6 Bedroom,Ready To Move,1,0,CollgCr,1994,1995,8,2007,20,60,990,0,0,1,0,0,1,0,4,5,0,588,0,402,990,990,0,0,990
91,Built-up  Area,10000000,1000,Sector 24 Rohini,2 BHK,Ready To Move,1,1,NAmes,1950,1950,7,2006,20,60,1040,0,0,0,0,0,1,0,4,5,0,0,0,0,0,1040,0,0,1040
92,Super built-up  Area,2300000,380,Sector 23 Dwarka,2 BHK,18-Dec,1,1,NAmes,1961,1961,12,2006,20,85,1235,0,0,0,0,0,0,0,5,3,203,600,0,635,1235,1235,0,0,1235
93,Super built-up  Area,6900000,600,Vasant Kunj,3 BHK,Ready To Move,1,0,Crawfor,1921,2006,8,2009,30,80,964,0,0,0,0,0,0,0,5,7,0,713,0,163,876,964,0,0,964
94,Plot  Area,17500000,2250,Green Park,4 Bedroom,Ready To Move,1,1,OldTown,1910,1998,11,2007,190,60,1260,1031,0,0,0,0,0,0,6,6,0,1046,0,168,1214,1260,1031,0,2291
95,Super built-up  Area,16500000,1200,Kalkaji,2 BHK,17-Aug,2,1,CollgCr,1997,1997,5,2007,60,69,905,881,1,0,0,0,1,0,6,5,0,648,0,176,824,905,881,0,1786
96,Super built-up  Area,3000000,645,Jamia Nagar,3 BHK,Ready To Move,2,1,Gilbert,1993,1993,4,2009,60,NA,680,790,0,0,0,0,0,0,6,8,68,310,0,370,680,680,790,0,1470
97,Plot  Area,13500000,1600,Sector 4 Dwarka,4 Bedroom,Ready To Move,2,1,CollgCr,1999,1999,8,2006,20,78,1588,0,0,0,0,0,0,0,7,5,183,1162,0,426,1588,1588,0,0,1588
98,Super built-up  Area,3800000,1000,Uttam Nagar,3 BHK,Ready To Move,2,1,Edwards,1965,1965,5,2007,20,73,960,0,0,0,0,0,0,0,4,5,48,520,0,440,960,960,0,0,960
99,Built-up  Area,5000000,920,Uttam Nagar,2 BHK,Ready To Move,1,1,Edwards,1920,1950,5,2010,30,85,835,0,0,0,0,0,0,0,5,5,0,108,0,350,458,835,0,0,835
100,Built-up  Area,2800000,570,Dwarka Mor,3 Bedroom,Ready To Move,1,1,NAmes,1959,1959,1,2010,20,77,1225,0,0,0,0,0,0,0,4,5,0,569,0,381,950,1225,0,0,1225
101,Super built-up  Area,162500000,6400,DLF Phase 5,3 BHK,Ready To Move,1,1,NWAmes,1977,2001,2,2010,20,NA,1610,0,1,0,0,0,0,0,6,7,28,1200,0,410,1610,1610,0,0,1610
102,Built-up  Area,7500000,1100,Sector 3 Dwarka,2 BHK,Ready To Move,2,1,SawyerW,1985,1985,6,2010,60,77,977,755,0,0,0,0,0,0,6,5,336,0,0,741,741,977,755,0,1732
103,Plot  Area,26000000,1650,Chittaranjan Park,3 Bedroom,Ready To Move,2,1,SawyerW,1979,1979,6,2009,90,64,1535,0,0,0,0,0,0,0,5,5,0,0,0,0,0,1535,0,0,1535
104,Super built-up  Area,3000000,750,Chattarpur,2 BHK,Ready To Move,2,1,CollgCr,2009,2009,5,2010,20,94,1226,0,0,0,0,0,0,0,7,5,0,0,0,1226,1226,1226,0,0,1226
105,Super built-up  Area,3000000,800,Chattarpur,2 BHK,Ready To Move,2,0,IDOTRR,1931,1950,6,2007,50,NA,1226,592,0,0,0,0,0,0,7,4,600,224,0,816,1040,1226,592,0,1818
106,Super built-up  Area,5200000,1000,Dwarka Mor,2 BHK,Ready To Move,1,1,Somerst,2003,2004,8,2008,60,75,1053,939,0,0,0,0,0,0,8,5,768,0,0,1053,1053,1053,939,0,1992
107,Built-up  Area,18000000,1700,Vasant Kunj,3 BHK,Ready To Move,2,1,OldTown,1885,1995,8,2007,30,60,1047,0,1,1,0,0,1,0,4,7,0,0,0,641,641,1047,0,0,1047
108,Built-up  Area,35000000,1800,Vasant Kunj,3 BHK,Ready To Move,1,0,OldTown,1948,1950,4,2008,20,50,789,0,1,0,0,0,0,0,5,5,0,104,169,516,789,789,0,0,789
109,Built-up  Area,4400000,810,Chattarpur,2 BHK,Ready To Move,1,1,IDOTRR,1919,2005,8,2007,50,85,997,520,0,0,0,0,0,0,5,7,0,0,0,793,793,997,520,0,1517
110,Super built-up  Area,15500000,1800,Sector 13 Dwarka,2 BHK,19-Apr,2,0,NWAmes,1977,1977,1,2010,20,105,1844,0,0,0,0,0,0,0,6,6,480,705,0,1139,1844,1844,0,0,1844
111,Super built-up  Area,27500000,1550,Greater Kailash,3 BHK,Ready To Move,2,0,Edwards,1954,1972,10,2006,50,75,1216,639,0,0,0,0,0,0,6,4,0,444,0,550,994,1216,639,0,1855
112,Super built-up  Area,8200000,500,Vasant Kunj,3 BHK,Ready To Move,2,1,Gilbert,2000,2000,4,2010,80,NA,774,656,0,0,0,0,0,0,7,5,0,250,0,134,384,774,656,0,1430
113,Super built-up  Area,4799000,950,Uttam Nagar,2 BHK,Ready To Move,2,1,CollgCr,2007,2007,10,2007,60,77,1282,1414,0,0,0,0,0,0,7,5,220,984,0,280,1264,1282,1414,0,2696
114,Super built-up  Area,15000000,1250,Sector-14 Rohini,3 BHK,Ready To Move,2,1,Crawfor,1953,1953,10,2007,20,NA,2259,0,1,1,0,0,1,0,6,5,184,35,869,905,1809,2259,0,0,2259
115,Built-up  Area,14000000,1000,Paschim Vihar,4 Bedroom,Ready To Move,2,1,Crawfor,1945,2002,7,2007,70,61,1436,884,0,0,0,0,0,0,6,8,0,774,150,104,1028,1436,884,0,2320
116,Built-up  Area,6500000,1000,Dwarka Mor,3 Bedroom,Ready To Move,2,1,Somerst,1999,1999,6,2007,160,34,729,729,0,0,0,0,1,0,6,5,1129,419,0,310,729,729,729,0,1458
117,Super built-up  Area,3200000,620,Dwarka Mor,3 BHK,Ready To Move,2,1,Sawyer,1962,1962,9,2009,20,NA,1092,0,0,0,0,0,1,0,5,5,116,170,670,252,1092,1092,0,0,1092
118,Super built-up  Area,6600000,700,Pitampura,3 BHK,18-Dec,1,1,Edwards,2006,2007,4,2007,20,74,1125,0,0,0,0,0,0,0,5,5,0,0,0,1125,1125,1125,0,0,1125
119,Super built-up  Area,6800000,581,Vasant Kunj,2 BHK,18-Jun,1,1,SawyerW,1990,1990,5,2010,60,90,1699,1523,0,1,0,0,1,0,7,5,0,1470,0,203,1673,1699,1523,0,3222
120,Plot  Area,2650000,600,Vasant Kunj,2 Bedroom,Ready To Move,3,0,CollgCr,2005,2006,7,2006,60,65,728,728,0,0,0,0,0,0,6,5,0,0,0,728,728,728,728,0,1456
121,Super built-up  Area,10400000,1000,Sector 18B Dwarka,3 BHK,Ready To Move,2,1,ClearCr,1969,1969,10,2006,80,NA,988,0,1,0,0,0,0,0,6,5,0,938,0,0,938,988,0,0,988
122,Super built-up  Area,22500000,2150,Sector 10 Dwarka,3 BHK,Ready To Move,1,0,IDOTRR,1939,1950,6,2007,50,50,772,351,0,1,0,0,1,0,4,5,0,0,0,732,732,772,351,0,1123
123,Super built-up  Area,28500000,2350,Sector 11 Dwarka,4 BHK,18-Mar,1,0,NAmes,1958,1958,6,2008,20,75,1080,0,0,0,0,0,0,0,6,7,135,570,0,510,1080,1080,0,0,1080
124,Built-up  Area,14000000,1500,Sarita Vihar,4 BHK,Ready To Move,1,1,SawyerW,1993,1993,3,2008,120,55,1199,0,0,0,0,0,0,0,6,5,0,300,0,899,1199,1199,0,0,1199
125,Super built-up  Area,5499000,900,Dwarka Mor,3 BHK,22-Dec,2,1,NWAmes,1979,1998,1,2009,20,48,1586,0,0,0,0,0,1,0,6,5,0,0,0,1362,1362,1586,0,0,1586
126,Built-up  Area,3399000,720,Dwarka Mor,2 BHK,Ready To Move,2,1,IDOTRR,1935,1982,6,2006,190,60,520,0,0,0,0,0,1,0,6,8,0,490,0,30,520,520,0,234,754
127,Built-up  Area,2349000,450,Dwarka Mor,3 BHK,Ready To Move,1,1,NPkVill,1976,1976,2,2007,120,NA,958,0,0,0,0,0,1,0,6,5,0,120,0,958,1078,958,0,0,958
128,Super built-up  Area,6000000,990,Dwarka Mor,2 BHK,22-Jan,2,0,OldTown,1930,1950,6,2007,45,55,840,0,0,0,0,0,1,0,5,7,0,116,0,556,672,840,0,0,840
