price,area1,location,area_type,size,availability,bath,balcony,society,ShoppingMall,Intercom,ATM,School,CarParking,Hospital,YearBuilt,YearRemodAdd,MoSold,YrSold,LotFrontage,1stFlrSF,2ndFlrSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,KitchenAbvGr,total_sqft
7551000,1078,Kharghar,Super built-up  Area,3 BHK,Ready To Move,2,1,Gilbert,1,1,1,1,1,1,1991,1992,5,2007,44,802,670,384,802,670,1472,1,1678
7875000,1150,Kharghar,Super built-up  Area,2 BHK,Ready To Move,2,1,Blmngtn,0,1,0,0,1,0,2005,2005,4,2006,43,1506,0,1362,1506,0,1506,1,1750
7875000,1150,Kharghar,Built-up  Area,1 BHK,Ready To Move,2,1,Edwards,1,1,0,0,1,0,2005,2005,6,2008,60,1132,0,1132,1132,0,1132,1,1750
7470000,1060,Kharghar,Super built-up  Area,3 BHK,19-Dec,2,0,CollgCr,0,1,1,0,1,0,2006,2006,7,2006,64,1220,0,1199,1220,0,1220,1,1660
5760000,680,Kharghar,Plot  Area,4 Bedroom,Ready To Move,1,1,OldTown,0,1,0,0,1,0,1930,1950,3,2007,52,912,336,912,912,336,1248,1,1280
13815000,2470,Kharghar,Super built-up  Area,3 BHK,Ready To Move,4,1,Blmngtn,1,1,1,1,1,1,2005,2006,5,2008,43,1504,0,1346,1504,0,1504,1,3070
245600,2100,Kharghar,Super built-up  Area,1 RK,18-Nov,4,1,Timber,0,1,0,0,1,0,1976,1976,5,2008,54,2898,0,1565,2898,0,2898,1,2500-2540
12600000,2200,Kharghar,Super built-up  Area,3 BHK,18-May,4,1,CollgCr,1,1,1,1,1,1,1972,1972,3,2007,70,882,0,882,882,0,882,1,2800
12757500,2235,Kharghar,Super built-up  Area,2 BHK,Ready To Move,4,1,NAmes,0,1,0,0,1,0,1960,1960,4,2010,73,1264,0,1268,1264,0,1264,1,2835
7312500,1025,Kharghar,Built-up  Area,3 BHK,20-Dec,2,1,Timber,0,1,0,0,1,0,2007,2008,4,2008,71,1646,0,1638,1646,0,1646,1,1625
6975000,950,Kharghar,Super built-up  Area,2 BHK,17-Oct,2,1,NAmes,0,1,0,0,1,0,1941,1950,4,2007,79,968,408,768,968,408,1376,1,1550
6727500,895,Kharghar,Super built-up  Area,3 BHK,Ready To Move,2,1,BrDale,1,1,1,1,1,1,1972,1972,5,2006,21,672,546,672,672,546,1218,1,1495
7713000,1114,Kharghar,Super built-up  Area,4 BHK,19-Dec,2,1,SWISU,1,1,0,0,1,0,1916,1995,7,2006,25,948,980,686,948,980,1928,2,1714
8086500,1197,Kharghar,Super built-up  Area,3 BHK,Ready To Move,2,1,SWISU,1,1,0,0,1,0,1920,1970,8,2009,102,1687,998,824,1687,998,3082,1,1797
8910000,1380,Kharghar,Super built-up  Area,3 BHK,Ready To Move,2,1,NoRidge,0,1,0,0,1,0,1993,1993,11,2006,102,1352,1168,1338,1352,1168,2520,1,1980
7425000,1050,Kharghar,Super built-up  Area,3 BHK,Ready To Move,2,1,CollgCr,0,0,0,0,1,0,2002,2002,2,2006,102,1654,0,1654,1654,0,1654,1,1650
8280000,1240,Kharghar,Built-up  Area,3 BHK,Ready To Move,2,1,Crawfor,1,1,1,1,1,1,1938,1950,6,2007,50,954,0,920,954,0,954,1,1840
7695000,1110,Kharghar,Super built-up  Area,2 BHK,21-Dec,2,1,Edwards,0,1,0,0,1,0,1957,1957,1,2009,55,845,0,0,845,0,845,1,1710
7425000,1050,Kharghar,Super built-up  Area,2 BHK,Ready To Move,2,1,Timber,1,1,1,1,1,1,2007,2008,9,2009,89,1620,0,1620,1620,0,1620,1,1650
7920000,1160,Kharghar,Super built-up  Area,3 BHK,Ready To Move,2,1,CollgCr,1,1,0,0,1,0,2001,2002,9,2008,56,1055,1208,1055,1055,1208,2263,1,1760
7551000,1078,Kharghar,Super built-up  Area,3 BHK,Ready To Move,2,1,MeadowV,1,1,1,1,1,1,1970,2008,5,2009,21,798,546,546,798,546,1344,1,1678
5197500,555,Kharghar,Built-up  Area,2 BHK,Ready To Move,1,1,MeadowV,0,1,0,0,1,0,1970,1970,4,2009,21,630,0,630,630,0,630,1,1155
5625000,650,Kharghar,Built-up  Area,2 BHK,Ready To Move,1,1,Sawyer,0,1,0,0,1,0,1957,2000,1,2006,88,1803,0,1134,1803,0,1803,1,1250
5400000,600,Kharghar,Super built-up  Area,3 BHK,19-Dec,1,0,NWAmes,0,1,0,0,1,0,1966,2000,7,2008,54,800,832,800,800,832,1632,1,1200
5625000,650,Kharghar,Super built-up  Area,1 BHK,Ready To Move,1,1,NridgHt,0,1,0,0,1,0,2005,2005,8,2009,34,1306,0,1306,1306,0,1306,1,1250
5850000,700,Kharghar,Plot  Area,1 Bedroom,Ready To Move,1,1,SawyerW,0,1,0,0,1,0,1990,1990,5,2008,86,1532,797,1475,1532,797,2329,1,1300
5607000,646,Kharghar,Super built-up  Area,2 BHK,19-Sep,1,1,NWAmes,0,1,0,0,1,0,1981,1981,7,2009,80,2524,0,2524,2524,0,2524,1,1246
5220000,560,Kharghar,Plot  Area,8 Bedroom,Ready To Move,1,1,Edwards,0,1,0,0,1,0,1955,1955,6,2009,44,1733,0,0,1733,0,1733,1,1160
5715000,670,Kharghar,Super built-up  Area,2 BHK,Ready To Move,1,1,StoneBr,0,1,0,0,1,0,2005,2006,7,2006,85,1992,876,1992,1992,876,2868,1,1270
6030000,740,Kharghar,Super built-up  Area,2 BHK,20-Sep,1,1,CollgCr,0,1,0,0,1,0,1994,1995,2,2008,57,990,0,990,990,0,990,1,1340
5562000,636,Kharghar,Plot  Area,2 Bedroom,Ready To Move,1,1,Mitchel,0,1,0,0,1,0,1960,2006,11,2009,100,1771,0,0,1771,0,1771,1,1236
5760000,680,Kharghar,Built-up  Area,2 BHK,Ready To Move,1,1,Edwards,0,0,0,0,1,0,1946,2006,4,2010,60,930,0,0,930,0,930,1,1280
10057500,1635,Kharghar,Super built-up  Area,2 BHK,Ready To Move,3,1,Gilbert,0,1,0,0,1,0,2007,2007,8,2007,73,1302,0,1302,1302,0,1302,1,2235
9675000,1550,Kharghar,Super built-up  Area,3 BHK,18-Mar,3,1,CollgCr,0,1,0,0,1,0,2007,2007,10,2007,103,1316,0,1316,1316,0,1316,1,2150
9450000,1500,Kharghar,Built-up  Area,3 BHK,Ready To Move,3,1,NAmes,0,1,0,0,1,0,1964,1978,6,2007,100,1127,850,816,1127,850,1977,1,2100
11025000,1850,Kharghar,Super built-up  Area,2 BHK,Ready To Move,3,1,Edwards,0,1,0,0,1,0,1957,2002,5,2010,68,1526,0,1216,1526,0,1526,1,2450
12150000,2100,Kharghar,Super built-up  Area,3 BHK,Ready To Move,4,1,CollgCr,1,1,1,1,1,1,2002,2002,11,2006,90,1091,898,1065,1091,898,1989,1,2700
5445000,610,Kharghar,Super built-up  Area,2 BHK,Ready To Move,1,1,NWAmes,1,1,1,1,1,1,1976,1976,5,2008,104,1523,0,1193,1523,0,1523,1,1210
5647500,655,Kharghar,Built-up  Area,4 Bedroom,20-Feb,1,1,NridgHt,0,0,0,0,1,0,2005,2005,6,2006,43,1364,0,1364,1364,0,1364,1,1255
5670000,660,Kharghar,Super built-up  Area,2 BHK,Ready To Move,1,1,NoRidge,0,0,0,0,1,0,1994,1994,1,2009,78,979,871,973,979,871,1850,1,1260
5625000,650,Kharghar,Plot  Area,6 Bedroom,Ready To Move,1,1,NridgHt,0,0,0,0,1,0,2008,2008,7,2009,96,1130,1054,1104,1130,1054,2184,1,1250
5760000,680,Kharghar,Super built-up  Area,2 BHK,Ready To Move,1,1,Crawfor,0,0,0,0,1,0,1932,1950,3,2007,98,1096,895,854,1096,895,1991,1,1280
5715000,670,Kharghar,Plot  Area,3 Bedroom,Ready To Move,1,1,StoneBr,0,0,0,0,1,0,2001,2001,4,2010,41,1338,0,1338,1338,0,1338,1,1270
5647500,655,Kharghar,Super built-up  Area,2 BHK,Ready To Move,1,1,IDOTRR,0,0,0,0,1,0,1935,1950,8,2008,120,894,0,894,894,0,894,1,1255
10800000,1800,Kharghar,Plot  Area,4 Bedroom,Ready To Move,3,1,OldTown,0,1,0,0,1,0,1900,1950,9,2007,85,1422,915,662,1422,915,2337,2,2400
10102500,1645,Kharghar,Built-up  Area,2 BHK,Ready To Move,3,0,OldTown,1,1,1,1,1,1,1925,1980,7,2006,50,1103,0,1103,1103,0,1103,1,2245
8977500,1395,Kharghar,Built-up  Area,8 Bedroom,Ready To Move,3,1,NAmes,0,1,0,0,1,0,1966,1966,11,2009,12,1154,0,1154,1154,0,1154,1,1995
7875000,1150,Kharghar,Super built-up  Area,2 BHK,Ready To Move,2,0,ClearCr,0,1,0,0,1,0,1996,1997,4,2010,80,1306,954,1306,1306,954,2260,1,1750
8100000,1200,Kharghar,Super built-up  Area,2 BHK,18-Apr,2,0,Gilbert,1,0,1,1,1,1,1993,1994,5,2009,59,799,772,799,799,772,1571,1,1800
7875000,1150,Kharghar,Super built-up  Area,2 BHK,Ready To Move,2,1,NAmes,0,1,0,0,1,0,1964,1964,6,2008,80,798,813,780,798,813,1611,1,1750
5467500,615,Kharghar,Plot  Area,8 Bedroom,Ready To Move,1,1,MeadowV,0,0,0,0,1,0,1973,1973,6,2006,42,1291,1230,942,1291,1230,2521,1,1215
5715000,670,Kharghar,Super built-up  Area,2 BHK,Ready To Move,1,1,NAmes,1,0,1,1,1,1,1949,2003,5,2007,60,893,0,845,893,0,893,1,1270
6142500,765,Kharghar,Plot  Area,3 Bedroom,Ready To Move,1,1,NAmes,0,1,0,0,1,0,1956,1956,6,2007,72,1048,0,1048,1048,0,1048,1,1365
5625000,650,Kharghar,Super built-up  Area,2 BHK,20-Aug,1,1,NWAmes,0,1,0,0,1,0,1968,1968,5,2009,78,829,727,727,829,727,1556,1,1250
5647500,655,Kharghar,Super built-up  Area,3 BHK,Ready To Move,1,1,Edwards,0,0,0,0,1,0,1948,1950,8,2006,50,1002,454,810,1002,454,1456,1,1255
10620000,1760,Kharghar,Super built-up  Area,2 BHK,18-Apr,3,0,Edwards,1,0,1,1,1,1,1977,1977,7,2009,75,698,728,690,698,728,1426,1,2360
9067500,1415,Kharghar,Super built-up  Area,3 BHK,Ready To Move,3,1,CollgCr,1,1,1,1,1,1,2006,2006,5,2007,74,1240,0,1240,1240,0,1240,1,2015
10282500,1685,Kharghar,Super built-up  Area,2 BHK,Ready To Move,3,1,Crawfor,1,0,1,1,1,1,1940,1984,7,2007,75,960,780,800,960,780,1740,1,2285
10800000,1800,Kharghar,Super built-up  Area,2 BHK,Ready To Move,3,1,OldTown,0,1,0,0,1,0,1936,1989,4,2006,60,1096,370,796,1096,370,1466,1,2400
10125000,1650,Kharghar,Built-up  Area,3 BHK,Ready To Move,3,1,NAmes,1,1,1,1,1,1,1969,1969,3,2006,64,1096,0,1096,1096,0,1096,1,2250
8977500,1395,Kharghar,Built-up  Area,2 BHK,Ready To Move,3,1,CollgCr,1,0,0,0,1,0,2004,2004,5,2006,37,848,0,848,848,0,848,1,1995
8100000,1200,Kharghar,Built-up  Area,6 Bedroom,Ready To Move,2,0,CollgCr,1,1,1,1,1,1,1994,1994,4,2007,65,990,0,990,990,0,990,1,1800
10125000,1650,Kharghar,Super built-up  Area,3 BHK,Ready To Move,3,1,NWAmes,1,1,1,1,1,1,1971,2004,10,2008,80,1258,0,1258,1258,0,1258,1,2250
8977500,1395,Kharghar,Built-up  Area,4 Bedroom,18-Oct,3,0,Sawyer,1,0,0,0,1,0,1963,1963,6,2010,75,1040,0,1040,1040,0,1040,1,1995
8100000,1200,Kharghar,Super built-up  Area,2 BHK,19-Mar,2,1,CollgCr,1,1,1,1,1,1,2002,2002,9,2007,70,1459,0,1459,1459,0,1459,1,1800
7875000,1150,Kharghar,Super built-up  Area,3 BHK,Ready To Move,2,0,NAmes,0,1,0,0,1,0,1964,1964,3,2006,80,1251,0,1251,1251,0,1251,1,1750
5625000,650,Kharghar,Super built-up  Area,3 BHK,Ready To Move,1,1,Gilbert,1,0,0,0,1,0,1995,1996,7,2006,34,691,807,691,691,807,1498,1,1250
5220000,560,Kharghar,Built-up  Area,6 Bedroom,Ready To Move,1,0,SawyerW,0,0,0,0,1,0,1992,1992,4,2010,73,996,0,936,996,0,996,1,1160
6142500,765,Kharghar,Super built-up  Area,3 BHK,Ready To Move,1,1,MeadowV,1,1,0,0,1,0,1973,1973,5,2010,14,546,546,546,546,546,1092,1,1365
5625000,650,Kharghar,Super built-up  Area,2 BHK,17-Sep,1,1,Somerst,0,1,0,0,1,0,2005,2006,5,2009,85,1082,871,1082,1082,871,1953,1,1250
5647500,655,Kharghar,Super built-up  Area,2 BHK,Ready To Move,1,0,Edwards,0,0,0,0,1,0,2004,2004,4,2006,24,970,739,970,970,739,1709,1,1255
8955000,1390,Kharghar,Plot  Area,6 Bedroom,Ready To Move,3,0,Somerst,1,1,0,0,1,0,2005,2005,4,2006,37,1247,0,1247,1247,0,1247,1,1990
9855000,1590,Kharghar,Built-up  Area,2 BHK,Ready To Move,3,1,NAmes,0,1,0,0,1,0,1950,1950,6,2009,60,1040,0,0,1040,0,1040,2,2190
10620000,1760,Kharghar,Super built-up  Area,2 BHK,18-Dec,3,1,Somerst,1,0,1,1,1,1,1999,2000,3,2008,24,624,628,600,624,628,1252,1,2360
10422000,1716,Kharghar,Super built-up  Area,3 BHK,Ready To Move,3,0,SWISU,1,1,1,1,1,1,1925,1950,6,2008,60,1390,304,1181,1390,304,1694,1,2316
10260000,1680,Kharghar,Plot  Area,4 Bedroom,Ready To Move,3,1,NAmes,1,1,1,1,1,1,1965,1998,10,2006,71,1200,0,864,1200,0,1200,1,2280
7425000,1050,Kharghar,Super built-up  Area,2 BHK,17-Aug,2,1,NAmes,1,1,1,1,1,1,1956,2000,5,2010,74,936,0,936,936,0,936,1,1650
7650000,1100,Kharghar,Super built-up  Area,3 BHK,Ready To Move,2,1,CollgCr,0,1,0,0,1,0,2006,2006,3,2007,78,1314,0,1314,1314,0,1314,1,1700
10057500,1635,Kharghar,Plot  Area,4 Bedroom,Ready To Move,3,1,IDOTRR,0,1,0,0,1,0,1914,2006,3,2007,60,773,582,684,773,582,1355,1,2235
7551000,1078,Kharghar,Super built-up  Area,3 BHK,Ready To Move,2,1,StoneBr,1,1,1,1,1,1,1986,1986,10,2007,46,1088,0,1074,1088,0,1088,1,1678
10620000,1760,Kharghar,Built-up  Area,2 BHK,Ready To Move,3,1,BrkSide,1,0,1,1,1,1,1936,1950,7,2009,50,757,567,672,757,567,1324,1,2360
9067500,1415,Kharghar,Built-up  Area,3 Bedroom,Ready To Move,3,1,NWAmes,1,1,1,1,1,1,1978,1978,4,2009,82,1601,0,1271,1601,0,1601,1,2015
10800000,1800,Kharghar,Super built-up  Area,3 BHK,Ready To Move,3,1,SWISU,0,1,0,0,1,0,1920,1950,1,2009,60,438,0,290,438,0,438,1,2400
7861500,1147,Kharghar,Built-up  Area,2 BHK,Ready To Move,2,1,NAmes,0,1,0,0,1,0,1971,1971,7,2007,61,950,0,950,950,0,950,1,1747
8086500,1197,Kharghar,Plot  Area,3 Bedroom,Ready To Move,2,1,NAmes,0,1,0,0,1,0,1960,2002,4,2007,70,1134,0,1010,1134,0,1134,1,1797
8550000,1300,Kharghar,Super built-up  Area,2 BHK,Ready To Move,3,1,NAmes,0,1,0,0,1,0,1959,1959,7,2006,79,1194,0,655,1194,0,1194,1,1900
7425000,1050,Kharghar,Super built-up  Area,2 BHK,Ready To Move,2,0,BrDale,1,0,1,1,1,1,1970,1970,4,2007,24,630,672,630,630,672,1302,1,1650
8280000,1240,Kharghar,Super built-up  Area,2 BHK,Ready To Move,2,1,NoRidge,1,0,1,1,1,1,1994,1995,4,2010,98,1500,1122,1463,1500,1122,2622,1,1840
7920000,1160,Kharghar,Built-up  Area,3 BHK,Ready To Move,2,1,SawyerW,0,1,0,0,1,0,1990,1991,5,2007,114,1442,0,910,1442,0,1442,1,1760
5625000,650,Kharghar,Built-up  Area,3 BHK,Ready To Move,1,0,Gilbert,0,1,0,0,1,0,2006,2006,9,2006,168,887,1134,868,887,1134,2021,1,1250
5625000,650,Kharghar,Built-up  Area,2 BHK,Ready To Move,1,1,Gilbert,1,0,1,1,1,1,2000,2000,11,2007,94,948,742,924,948,742,1690,1,1250
5400000,600,Sector 20 Kharghar,Super built-up  Area,2 BHK,19-Apr,1,0,NridgHt,0,0,0,0,1,0,2004,2005,3,2009,107,1836,0,1836,1836,0,1836,1,1200
5175000,550,Kharghar,Super built-up  Area,3 BHK,Ready To Move,1,0,Gilbert,0,0,0,0,1,0,1995,1996,6,2008,51,773,885,773,773,885,1658,1,1150
5175000,550,Kharghar,Super built-up  Area,3 BHK,Ready To Move,1,1,NWAmes,0,0,1,1,1,1,1976,1976,9,2008,80,1098,866,803,1098,866,1964,1,1150
5625000,650,Kharghar,Super built-up  Area,2 BHK,Ready To Move,1,1,NAmes,0,0,0,0,1,0,1957,1957,7,2006,73,816,0,816,816,0,816,1,1250
5850000,700,Kharghar,Super built-up  Area,3 BHK,Ready To Move,1,1,NAmes,0,1,0,0,1,0,1953,2006,5,2007,66,1008,0,1008,1008,0,1008,1,1300
5607000,646,Kharghar,Built-up  Area,4 Bedroom,Ready To Move,1,1,OldTown,0,1,0,0,1,0,1954,2000,8,2006,90,833,0,833,833,0,833,1,1246
5625000,650,Kharghar,Built-up  Area,3 Bedroom,Ready To Move,1,1,NridgHt,0,1,0,0,1,0,2007,2007,11,2007,93,1734,0,1734,1734,0,1734,1,1250
6030000,740,Kharghar,Super built-up  Area,3 BHK,Ready To Move,1,1,Gilbert,0,1,0,0,1,0,2002,2002,3,2009,13,779,640,408,779,640,1419,1,1340
5265000,570,Kharghar,Super built-up  Area,3 BHK,18-Dec,1,1,Sawyer,0,0,0,0,1,0,1967,2003,5,2008,57,894,0,894,894,0,894,1,1170
5715000,670,Kharghar,Super built-up  Area,2 BHK,18-Jun,1,1,Sawyer,0,0,0,0,1,0,1958,1987,12,2008,85,1021,580,533,1021,580,1601,1,1270
5760000,680,Kharghar,Plot  Area,2 Bedroom,Ready To Move,1,0,NAmes,0,0,0,0,1,0,1959,1959,7,2006,70,1040,0,1040,1040,0,1040,1,1280
5562000,636,Kharghar,Super built-up  Area,3 BHK,Ready To Move,1,1,IDOTRR,0,1,0,0,1,0,1920,1950,5,2007,59,1012,0,1012,1012,0,1012,1,1236
5580000,640,Kharghar,Super built-up  Area,3 BHK,Ready To Move,1,0,CollgCr,0,0,0,0,1,0,2005,2006,7,2006,84,1552,0,1552,1552,0,1552,1,1240
10350000,1700,Kharghar,Super built-up  Area,4 BHK,18-Mar,3,0,Edwards,0,1,0,0,1,0,1956,1956,10,2009,,960,0,672,960,0,960,1,2300
10057500,1635,Kharghar,Built-up  Area,4 BHK,Ready To Move,3,1,Edwards,0,1,0,0,1,0,1947,2008,6,2009,50,698,0,698,698,0,698,1,2235
9675000,1550,Kharghar,Super built-up  Area,3 BHK,22-Dec,3,1,Gilbert,0,1,0,0,1,0,1992,1992,7,2007,NA,812,670,384,812,670,1482,1,2150
9585000,1530,Kharghar,Built-up  Area,2 BHK,Ready To Move,3,1,NAmes,0,1,0,0,1,0,1955,1955,11,2009,60,1005,0,1005,1005,0,1005,1,2130
9450000,1500,Kharghar,Built-up  Area,3 BHK,Ready To Move,3,1,Blmngtn,0,1,0,0,1,0,2007,2007,6,2009,53,1555,0,1373,1555,0,1555,1,2100
10575000,1750,Kharghar,Super built-up  Area,2 BHK,22-Jan,3,0,Gilbert,0,1,0,0,1,0,2004,2004,11,2007,182,1530,0,1530,1530,0,1530,1,2350
9855000,1590,Kharghar,Super built-up  Area,2 BHK,Ready To Move,3,1,Gilbert,0,1,0,0,1,0,2004,2005,7,2007,59,847,1112,847,847,1112,1959,1,2190
9067500,1415,Kharghar,Plot  Area,7 Bedroom,Ready To Move,3,1,OldTown,1,1,1,1,1,1,1980,1980,8,2007,60,936,0,936,936,0,936,1,2015
10125000,1650,Kharghar,Built-up  Area,3 BHK,Ready To Move,3,1,SWISU,0,1,0,0,1,0,1928,1950,12,2009,65,1328,653,1122,1328,653,1981,1,2250
10291500,1687,Kharghar,Plot  Area,3 Bedroom,Ready To Move,3,1,Mitchel,1,1,1,1,1,1,1991,1992,9,2007,63,974,0,974,974,0,974,1,2287
7875000,1150,Kharghar,Super built-up  Area,2 BHK,Ready To Move,2,1,OldTown,0,1,0,0,1,0,1880,1950,5,2007,90,1178,1032,1008,1178,1032,2210,1,1750
7425000,1050,Kharghar,Plot  Area,4 Bedroom,Ready To Move,2,1,SawyerW,1,1,1,1,1,1,1995,1995,6,2009,80,1142,878,1128,1142,878,2020,1,1650
5197500,555,Kharghar,Super built-up  Area,3 BHK,Ready To Move,1,1,Gilbert,0,0,0,0,1,0,1997,1997,8,2007,57,916,684,916,916,684,1600,1,1155
5400000,600,Kharghar,Built-up  Area,2 BHK,Ready To Move,1,1,BrkSide,0,1,0,0,1,0,1926,1950,5,2007,60,986,0,960,986,0,986,1,1200
5607000,646,Kharghar,Super built-up  Area,2 BHK,18-Aug,1,0,NAmes,0,0,0,0,1,0,1950,1950,4,2008,80,1032,220,1032,1032,220,1252,1,1246
5625000,650,Kharghar,Super built-up  Area,2 BHK,19-Mar,1,1,Sawyer,0,1,0,0,1,0,1875,1996,5,2010,54,780,240,780,780,240,1020,1,1250
5625000,650,Kharghar,Super built-up  Area,3 BHK,18-May,1,1,Mitchel,0,0,0,0,1,0,1977,1977,5,2009,NA,1567,0,1567,1567,0,1567,1,1250
6030000,740,Kharghar,Super built-up  Area,3 BHK,19-Jan,1,1,BrkSide,0,1,0,0,1,0,1920,1950,5,2007,98,1167,0,915,1167,0,1167,1,1340
5715000,670,Kharghar,Built-up  Area,8 Bedroom,Ready To Move,1,1,NAmes,0,1,0,0,1,0,1951,1951,6,2008,60,952,0,952,952,0,952,1,1270
5580000,640,Kharghar,Super built-up  Area,5 BHK,19-Dec,1,1,NWAmes,0,1,0,0,1,0,1976,1976,10,2009,NA,1088,780,780,1088,780,1868,1,1240
5625000,650,Kharghar,Super built-up  Area,3 BHK,Ready To Move,1,1,CollgCr,0,1,0,0,1,0,2006,2007,4,2007,77,1466,1362,1466,1466,1362,2828,1,1250
9000000,1400,Kharghar,Super built-up  Area,2 BHK,Ready To Move,3,1,Sawyer,0,1,0,0,1,0,1959,1959,7,2008,NA,1006,0,1006,1006,0,1006,1,2000
10575000,1750,Kharghar,Super built-up  Area,2 BHK,17-Jul,3,1,Edwards,0,1,0,0,1,0,1941,1950,7,2010,60,672,252,672,672,252,924,1,2350
10710000,1780,Kharghar,Super built-up  Area,7 BHK,Ready To Move,3,0,BrkSide,1,1,1,1,1,1,1928,1950,8,2006,52,1042,534,1042,1042,534,1576,1,2380
9067500,1415,Kharghar,Super built-up  Area,3 BHK,Ready To Move,3,0,SawyerW,1,1,1,1,1,1,1985,1985,5,2006,NA,1298,0,1298,1298,0,1298,1,2015
10291500,1687,Kharghar,Super built-up  Area,2 BHK,Ready To Move,3,0,Crawfor,1,0,1,1,1,1,1941,1950,7,2009,75,860,704,704,860,704,1564,1,2287
7650000,1100,Kharghar,Super built-up  Area,3 BHK,Ready To Move,2,0,OldTown,0,1,0,0,1,0,1926,1950,8,2008,NA,572,539,572,572,539,1111,1,1700
7425000,1050,Kharghar,Plot  Area,6 Bedroom,Ready To Move,2,0,OldTown,0,1,0,0,1,0,1920,1988,7,2009,50,832,650,650,832,650,1482,1,1650
7920000,1160,Kharghar,Super built-up  Area,3 BHK,19-Apr,2,0,NAmes,0,1,0,0,1,0,1950,1950,11,2007,57,932,0,932,932,0,932,1,1760
5850000,700,Kharghar,Super built-up  Area,2 BHK,Ready To Move,1,0,Edwards,1,1,0,0,1,0,1959,1959,11,2006,134,1466,0,1466,1466,0,1466,1,1300
5512500,625,Kharghar,Super built-up  Area,3 BHK,18-May,1,0,Crawfor,0,1,0,0,1,0,1956,2004,7,2006,90,1811,0,1073,1811,0,1811,1,1225
5607000,646,Kharghar,Super built-up  Area,3 BHK,Ready To Move,1,1,IDOTRR,0,1,0,0,1,0,1930,2007,6,2008,NA,816,0,816,816,0,816,1,1246
