id,area_type,price,total_sqft,location,size,availability,balcony,society,bath,YearBuilt,YearRemodAdd,MoSold,YrSold,MSSubClass,LotFrontage,1stFlrSF,2ndFlrSF,Gymnasium,SwimmingPool,ShoppingMall,SportsFacility,ATM,School,Hospital,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,KitchenAbvGr
18,Super built-up  Area,6750000,1500,Madurdaha Hussainpur,3 BHK,Ready To Move,1,Sawyer,1,1967,1967,10,2014,90,72,1296,0,1,1,0,1,0,0,0,0,0,0,0,1296,0,0,1296,2
19,Super built-up  Area,5850000,1300,New Alipore,3 BHK,Ready To Move,1,SawyerW,2,2004,2004,6,2014,20,66,1114,0,1,1,0,1,0,0,0,646,0,468,1114,1114,0,0,1114,1
20,Super built-up  Area,4725000,1050,Mukundapur,2 BHK,Ready To Move,1,NAmes,1,1958,1965,5,2017,20,70,1339,0,1,1,0,1,0,0,0,504,0,525,1029,1339,0,0,1339,1
21,Built-up  Area,7200000,1600,Barasat,1 BHK,Ready To Move,1,NridgHt,1,2005,2006,11,2017,60,101,1158,1218,1,1,0,0,0,0,0,0,0,1158,1158,1158,1218,0,2376,1
22,Super built-up  Area,5400000,1200,Keshtopur,3 BHK,19-Dec,0,IDOTRR,3,1930,1950,6,2017,45,57,1108,0,1,0,0,0,0,0,0,0,0,637,637,1108,0,0,1108,1
23,Plot  Area,15750000,3500,Rajarhat,4 Bedroom,Ready To Move,1,CollgCr,1,2002,2002,9,2018,20,75,1795,0,1,0,0,0,0,0,0,0,0,1777,1777,1795,0,0,1795,1
24,Super built-up  Area,12500000,2100 - 2850,Narendrapur,3 BHK,Ready To Move,1,MeadowV,2,1976,1976,6,2018,120,44,1060,0,1,1,0,0,0,0,0,840,0,200,1040,1060,0,0,1060,1
25,Super built-up  Area,19575000,4350,New Town,1 RK,18-Nov,1,Sawyer,1,1968,2001,5,2016,20,NA,1060,0,1,1,0,1,0,0,0,188,668,204,1060,1060,0,0,1060,1
26,Super built-up  Area,8550000,1900,Joka,3 BHK,18-May,1,NridgHt,1,2007,2007,7,2016,20,110,1600,0,1,0,0,0,0,0,0,0,0,1566,1566,1600,0,0,1600,1
27,Super built-up  Area,8100000,1800,Tangra,2 BHK,Ready To Move,1,NAmes,2,1951,2000,5,2015,20,60,900,0,1,1,0,0,0,0,0,234,486,180,900,900,0,0,900,1
28,Built-up  Area,15750000,3500,Sonarpur,3 BHK,20-Dec,1,NridgHt,1,2007,2008,5,2010,20,98,1704,0,1,1,0,0,0,0,0,1218,0,486,1704,1704,0,0,1704,1
29,Super built-up  Area,21600000,4800,Sonarpur,2 BHK,17-Oct,1,NAmes,2,1957,1997,12,2020,20,47,1600,0,1,1,0,1,0,0,0,1277,0,207,1484,1600,0,0,1600,1
30,Super built-up  Area,22500000,5000,Madhyamgram,3 BHK,Ready To Move,1,BrkSide,1,1927,1950,5,2020,30,60,520,0,1,1,0,1,0,0,0,0,0,520,520,520,0,0,520,1
31,Super built-up  Area,5850000,1300,Dum Dum,4 BHK,19-Dec,1,IDOTRR,1,1920,1950,7,2018,70,50,649,668,1,1,1,1,0,0,1,0,0,649,649,649,668,0,1317,1
32,Super built-up  Area,9000000,2000,New Town,3 BHK,Ready To Move,1,Sawyer,1,1966,2006,6,2019,20,NA,1228,0,1,1,0,0,0,0,0,0,0,1228,1228,1228,0,0,1228,1
33,Super built-up  Area,5661000,1258,New Town,3 BHK,Ready To Move,1,CollgCr,1,2007,2007,1,2020,20,85,1234,0,0,0,0,0,0,0,0,0,0,1234,1234,1234,0,0,1234,1
34,Super built-up  Area,8100000,1800,Chkravarti Para,3 BHK,Ready To Move,1,NAmes,2,1959,1959,4,2020,20,70,1700,0,0,0,0,0,0,0,0,1018,0,380,1398,1700,0,0,1700,1
35,Built-up  Area,7200000,1600,Tollygunge,3 BHK,Ready To Move,1,NridgHt,1,2005,2005,8,2019,120,60,1561,0,1,0,0,0,0,0,0,1153,0,408,1561,1561,0,0,1561,1
36,Super built-up  Area,6232500,1385,Sarsuna,2 BHK,21-Dec,1,NridgHt,2,2004,2005,9,2018,60,108,1132,1320,0,0,0,0,0,0,0,0,0,1117,1117,1132,1320,0,2452,1
37,Super built-up  Area,11250000,2500,Ultadanga,2 BHK,Ready To Move,1,CollgCr,3,1994,1995,6,2015,20,112,1097,0,0,0,0,0,0,0,0,0,0,1097,1097,1097,0,0,1097,1
38,Super built-up  Area,9000000,2000,Madurdaha Hussainpur,3 BHK,Ready To Move,1,NAmes,1,1954,1990,10,2016,20,74,1297,0,1,1,0,1,0,0,0,1213,0,84,1297,1297,0,0,1297,1
39,Super built-up  Area,5850000,1300,New Alipore,3 BHK,Ready To Move,1,NAmes,1,1953,2007,1,2020,20,68,1057,0,1,1,0,1,0,0,0,731,0,326,1057,1057,0,0,1057,1
40,Built-up  Area,20250000,4500,Mukundapur,2 BHK,Ready To Move,1,Edwards,1,1955,1955,6,2020,90,65,1152,0,1,1,0,1,0,0,0,0,0,0,0,1152,0,0,1152,2
41,Built-up  Area,7200000,1600,Kutighat,2 BHK,Ready To Move,1,NAmes,2,1965,1965,12,2020,20,84,1324,0,0,0,0,0,0,0,0,643,0,445,1088,1324,0,0,1324,1
42,Super built-up  Area,4500000,1000,New Town,3 BHK,19-Dec,0,Timber,2,1959,1959,7,2019,20,115,1328,0,1,1,0,1,0,0,0,967,0,383,1350,1328,0,0,1328,1
43,Super built-up  Area,7335000,1630,New Town,1 BHK,Ready To Move,1,SawyerW,1,1983,1983,12,2019,85,NA,884,0,1,1,0,1,0,0,0,747,93,0,840,884,0,0,884,1
44,Plot  Area,9000000,2000,Dum Dum,1 Bedroom,Ready To Move,1,CollgCr,1,1975,1980,7,2018,20,NA,938,0,0,0,0,0,0,0,0,280,491,167,938,938,0,0,938,1
45,Super built-up  Area,5988330,1330.74,Behala,2 BHK,19-Sep,1,NAmes,1,1959,1959,5,2015,20,70,1150,0,1,1,0,1,0,0,0,179,506,465,1150,1150,0,0,1150,1
46,Plot  Area,6075000,1350,Sodepur,8 Bedroom,Ready To Move,1,NridgHt,1,2005,2005,2,2014,120,61,1752,0,0,0,0,0,0,0,0,456,0,1296,1752,1752,0,0,1752,1
47,Super built-up  Area,6750000,1500,Konnagar,2 BHK,Ready To Move,1,Mitchel,2,2003,2003,8,2014,50,48,1518,631,0,0,0,0,0,0,0,1351,0,83,1434,1518,631,0,2149,1
48,Super built-up  Area,7200000,1600,Uttarpara Kotrung,2 BHK,20-Sep,1,Somerst,1,2006,2006,7,2017,20,84,1656,0,1,0,0,0,0,0,0,24,0,1632,1656,1656,0,0,1656,1
49,Plot  Area,13050000,2900,Baguiati,2 Bedroom,Ready To Move,1,OldTown,2,1920,2008,6,2017,190,33,736,716,0,0,0,0,0,0,0,0,0,736,736,736,716,0,1452,3
50,Built-up  Area,5400000,1200,Hooghly Chinsurah,2 BHK,Ready To Move,1,Sawyer,2,1966,1966,1,2017,20,66,955,0,0,0,0,0,0,0,0,763,0,192,955,955,0,0,955,1
51,Super built-up  Area,10147500,2255,New Town,2 BHK,Ready To Move,1,Gilbert,1,1997,1997,7,2018,60,NA,794,676,1,1,0,1,1,0,0,182,0,612,794,794,676,0,1470,1
52,Super built-up  Area,6300000,1400,Hussainpur,3 BHK,18-Mar,1,BrkSide,2,1934,1950,9,2018,50,52,816,0,0,0,0,0,0,0,0,0,0,816,816,816,0,360,1176,1
53,Built-up  Area,6750000,1500,Dum Dum Park,3 BHK,Ready To Move,1,IDOTRR,1,1963,1963,5,2016,90,110,816,0,1,1,1,1,0,0,0,104,712,0,816,816,0,0,816,1
54,Super built-up  Area,7200000,1600,Barasat,2 BHK,Ready To Move,1,Veenker,1,1981,1987,11,2016,20,68,1842,0,0,0,0,0,0,0,0,1810,0,32,1842,1842,0,0,1842,1
55,Super built-up  Area,12150000,2700,New Town,3 BHK,Ready To Move,1,NAmes,0,1955,1955,2,2015,80,60,1360,0,0,0,0,0,0,0,0,384,0,0,384,1360,0,0,1360,1
56,Super built-up  Area,5400000,1200,Rajarhat,2 BHK,Ready To Move,1,NAmes,1,1964,1964,7,2010,20,100,1425,0,1,1,0,0,0,0,0,490,0,935,1425,1425,0,0,1425,1
57,Built-up  Area,20700000,4600,Dum Dum,4 Bedroom,20-Feb,1,Somerst,2,1999,2000,8,2020,160,24,983,756,0,0,0,0,0,0,0,649,0,321,970,983,756,0,1739,1
58,Super built-up  Area,7425000,1650,Bhadreswar,2 BHK,Ready To Move,1,CollgCr,2,2004,2004,8,2020,60,89,860,860,0,0,0,0,0,0,0,0,0,860,860,860,860,0,1720,1
59,Plot  Area,24840000,5520,Dum Dum,6 Bedroom,Ready To Move,1,StoneBr,2,2006,2006,10,2018,60,66,1426,1519,1,1,1,1,0,0,1,0,0,1410,1410,1426,1519,0,2945,1
60,Super built-up  Area,17550000,3900,Dum Dum,2 BHK,Ready To Move,1,CollgCr,3,1972,1972,1,2019,20,60,780,0,1,1,1,1,0,0,1,632,0,148,780,780,0,0,780,1
61,Plot  Area,13545000,3010,New Town,3 Bedroom,Ready To Move,1,SawyerW,1,2004,2004,5,2020,20,63,1158,0,0,0,0,0,0,0,0,941,0,217,1158,1158,0,0,1158,1
62,Super built-up  Area,20250000,4500,Garia,2 BHK,Ready To Move,1,IDOTRR,1,1920,1996,3,2020,75,60,581,530,0,0,0,0,0,0,0,0,0,530,530,581,530,0,1111,1
63,Plot  Area,6979500,1551,New Town,4 Bedroom,Ready To Move,1,NridgHt,1,2006,2006,10,2019,120,44,1370,0,0,0,0,0,0,0,0,24,0,1346,1370,1370,0,0,1370,1
64,Built-up  Area,7200000,1600,south dum dum,2 BHK,Ready To Move,0,OldTown,2,1921,1950,4,2018,70,50,902,808,0,0,0,0,0,0,0,0,0,576,576,902,808,0,1710,1
65,Built-up  Area,8797500,1955,Rajarhat,8 Bedroom,Ready To Move,1,CollgCr,2,1997,1998,2,2015,60,NA,1057,977,1,1,1,1,1,1,1,739,0,318,1057,1057,977,0,2034,1
66,Super built-up  Area,6975000,1550,Santoshpur,2 BHK,Ready To Move,0,NridgHt,2,2004,2005,10,2016,60,76,1143,1330,0,0,0,1,0,0,0,0,0,1143,1143,1143,1330,0,2473,1
67,Super built-up  Area,21690000,4820,Behala,2 BHK,18-Apr,0,NAmes,2,1970,1989,7,2020,20,NA,2207,0,0,0,0,0,0,0,0,912,0,1035,1947,2207,0,0,2207,1
68,Super built-up  Area,8293500,1843,Rajarhat,2 BHK,Ready To Move,1,CollgCr,2,2003,2003,6,2020,20,72,1479,0,1,1,0,0,0,0,0,1013,0,440,1453,1479,0,0,1479,1
69,Plot  Area,16380000,3640,Gariahat,8 Bedroom,Ready To Move,1,OldTown,2,1945,1950,6,2020,30,47,747,0,0,0,0,0,0,0,0,0,0,747,747,747,0,0,747,1
70,Super built-up  Area,13500000,3000,Uttarpara Kotrung,2 BHK,Ready To Move,1,ClearCr,1,1953,1953,7,2019,50,81,1304,983,0,0,0,0,0,0,0,603,0,701,1304,1304,983,0,2287,1
71,Plot  Area,20250000,4500,Lake Gardens,3 Bedroom,Ready To Move,1,NAmes,2,1973,1973,2,2019,20,95,2223,0,0,0,0,1,0,0,0,1880,0,343,2223,2223,0,0,2223,1
72,Super built-up  Area,5850000,1300,Rajarhat,2 BHK,20-Aug,1,Mitchel,2,1982,2006,6,2018,20,69,845,0,1,1,0,1,0,0,0,565,0,280,845,845,0,0,845,1
73,Super built-up  Area,4500000,1000,Rajarhat,3 BHK,Ready To Move,1,Gilbert,1,1998,1998,12,2015,60,74,885,833,0,0,0,0,0,0,0,0,0,832,832,885,833,0,1718,1
74,Super built-up  Area,9000000,2000,New Town,2 BHK,18-Apr,0,NAmes,2,1954,2003,5,2014,20,85,1086,0,0,0,0,0,0,0,0,320,362,404,1086,1086,0,0,1086,1
75,Super built-up  Area,7650000,1700,New Town,3 BHK,Ready To Move,1,OldTown,1,1915,1950,5,2014,50,60,840,765,0,0,0,0,0,0,0,0,0,840,840,840,765,0,1605,2
76,Super built-up  Area,8100000,1800,Kalighat,2 BHK,Ready To Move,1,MeadowV,2,1973,1973,11,2017,180,21,526,462,9,9,9,9,9,9,9,462,0,0,462,526,462,0,988,1
77,Super built-up  Area,5400000,1200,Garia,2 BHK,Ready To Move,1,NAmes,1,1956,1956,4,2017,20,NA,952,0,9,9,9,9,9,9,9,228,0,724,952,952,0,0,952,1
78,Built-up  Area,5400000,1200,Belghoria,3 BHK,Ready To Move,1,BrkSide,1,1948,2001,1,2017,50,50,1072,213,9,9,9,9,9,9,9,336,41,295,672,1072,213,0,1285,1
79,Built-up  Area,7650000,1700,Garia,2 BHK,Ready To Move,1,Sawyer,1,1968,1968,4,2018,90,72,1768,0,9,9,9,9,9,9,9,0,0,1768,1768,1768,0,0,1768,2
80,Built-up  Area,7425000,1650,Tangra,6 Bedroom,Ready To Move,0,OldTown,2,1910,1981,5,2018,50,60,682,548,9,9,9,9,9,9,9,0,0,440,440,682,548,0,1230,1
81,Super built-up  Area,6750000,1500,Tagore Park,3 BHK,Ready To Move,1,NAmes,1,1968,1968,6,2016,60,100,1182,960,9,9,9,9,9,9,9,448,0,448,896,1182,960,0,2142,1
82,Built-up  Area,11250000,2500,Kamardanga,4 Bedroom,18-Oct,0,Mitchel,2,1998,1998,3,2016,120,32,1337,0,9,9,9,9,9,9,9,1201,0,36,1237,1337,0,0,1337,1
83,Super built-up  Area,11250000,2500,New Town,2 BHK,19-Mar,1,Somerst,2,2007,2007,10,2015,20,78,1563,0,9,9,9,9,9,9,9,33,0,1530,1563,1563,0,0,1563,1
84,Super built-up  Area,11070000,2460,Rajarhat,3 BHK,Ready To Move,0,NAmes,2,1960,1960,7,2010,20,80,1065,0,9,9,9,9,9,9,9,0,0,1065,1065,1065,0,0,1065,1
85,Super built-up  Area,12600000,2800,Mukundapur,3 BHK,Ready To Move,1,Gilbert,1,1995,1996,5,2009,80,NA,804,670,9,9,9,9,9,9,9,0,0,384,384,804,670,0,1474,1
86,Built-up  Area,11097000,2466,Tollygunge,6 Bedroom,Ready To Move,0,NoRidge,2,1991,1992,4,2006,60,121,1301,1116,9,9,9,9,9,9,9,0,0,1288,1288,1301,1116,0,2417,1
87,Super built-up  Area,7425000,1650,Mukundapur,3 BHK,Ready To Move,1,Gilbert,2,2005,2005,3,2009,60,122,684,876,9,9,9,9,9,9,9,0,0,684,684,684,876,0,1560,1
88,Super built-up  Area,3645000,810,Ballygunge,2 BHK,17-Sep,1,Somerst,2,2009,2009,6,2009,160,40,612,612,9,9,9,9,9,9,9,0,0,612,612,612,612,0,1224,1
89,Super built-up  Area,5625000,1250,Keshtopur,2 BHK,Ready To Move,0,IDOTRR,2,1915,1982,10,2009,50,105,1013,0,9,9,9,9,9,9,9,0,0,1013,1013,1013,0,513,1526,1
90,Plot  Area,16443000,3654,Purba Putiary,6 Bedroom,Ready To Move,0,CollgCr,1,1994,1995,8,2007,20,60,990,0,9,9,9,9,9,9,9,588,0,402,990,990,0,0,990,1
91,Built-up  Area,17100000,3800,New Town,2 BHK,Ready To Move,1,NAmes,1,1950,1950,7,2006,20,60,1040,0,9,9,9,9,9,9,9,0,0,0,0,1040,0,0,1040,1
92,Super built-up  Area,6552000,1456,Ariadaha,2 BHK,18-Dec,1,NAmes,1,1961,1961,12,2006,20,85,1235,0,9,9,9,9,9,9,9,600,0,635,1235,1235,0,0,1235,1
93,Super built-up  Area,11052000,2456,Garia,3 BHK,Ready To Move,0,Crawfor,1,1921,2006,8,2009,30,80,964,0,9,9,9,9,9,9,9,713,0,163,876,964,0,0,964,1
94,Plot  Area,16443000,3654,Rahara,4 Bedroom,Ready To Move,1,OldTown,1,1910,1998,11,2007,190,60,1260,1031,9,9,9,9,9,9,9,1046,0,168,1214,1260,1031,0,2291,2
95,Super built-up  Area,10125000,2250,Behala,2 BHK,17-Aug,1,CollgCr,2,1997,1997,5,2007,60,69,905,881,9,9,9,9,9,9,9,648,0,176,824,905,881,0,1786,1
96,Super built-up  Area,20250000,4500,Kasba,3 BHK,Ready To Move,1,Gilbert,2,1993,1993,4,2009,60,NA,680,790,9,9,9,9,9,9,9,310,0,370,680,680,790,0,1470,1
97,Plot  Area,9000000,2000,New Town,4 Bedroom,Ready To Move,1,CollgCr,2,1999,1999,8,2006,20,78,1588,0,9,9,9,9,9,9,9,1162,0,426,1588,1588,0,0,1588,1
98,Super built-up  Area,7200000,1600,New Town,3 BHK,Ready To Move,1,Edwards,2,1965,1965,5,2007,20,73,960,0,9,9,9,9,9,9,9,520,0,440,960,960,0,0,960,1
99,Built-up  Area,22500000,5000,New Town,2 BHK,Ready To Move,1,Edwards,1,1920,1950,5,2010,30,85,835,0,9,9,9,9,9,9,9,108,0,350,458,835,0,0,835,1
100,Built-up  Area,24750000,5500,Sodepur,3 Bedroom,Ready To Move,1,NAmes,1,1959,1959,1,2010,20,77,1225,0,9,9,9,9,9,9,9,569,0,381,950,1225,0,0,1225,1
101,Super built-up  Area,20250000,4500,Paschim Putiary,3 BHK,Ready To Move,1,NWAmes,1,1977,2001,2,2010,20,NA,1610,0,9,9,9,9,9,9,9,1200,0,410,1610,1610,0,0,1610,1
102,Built-up  Area,15750000,3500,New Alipore,2 BHK,Ready To Move,1,SawyerW,2,1985,1985,6,2010,60,77,977,755,9,9,9,9,9,9,9,0,0,741,741,977,755,0,1732,1
103,Plot  Area,13306500,2957,New Town,3 Bedroom,Ready To Move,1,SawyerW,2,1979,1979,6,2009,90,64,1535,0,9,9,9,9,9,9,9,0,0,0,0,1535,0,0,1535,2
104,Super built-up  Area,4500000,1000,Mukundapur,2 BHK,Ready To Move,1,CollgCr,2,2009,2009,5,2010,20,94,1226,0,9,9,9,9,9,9,9,0,0,1226,1226,1226,0,0,1226,1
105,Super built-up  Area,6075000,1350,Howrah,2 BHK,Ready To Move,0,IDOTRR,2,1931,1950,6,2007,50,NA,1226,592,9,9,9,9,9,9,9,224,0,816,1040,1226,592,0,1818,1
106,Super built-up  Area,6457500,1435,Dum Dum,2 BHK,Ready To Move,1,Somerst,1,2003,2004,8,2008,60,75,1053,939,9,9,9,9,9,9,9,0,0,1053,1053,1053,939,0,1992,1
107,Built-up  Area,8550000,1900,Barisha Purba Para Road,3 BHK,Ready To Move,1,OldTown,2,1885,1995,8,2007,30,60,1047,0,9,9,9,9,9,9,9,0,0,641,641,1047,0,0,1047,1
108,Built-up  Area,8100000,1800,Behala,3 BHK,Ready To Move,0,OldTown,1,1948,1950,4,2008,20,50,789,0,9,9,9,9,9,9,9,104,169,516,789,789,0,0,789,1
109,Built-up  Area,6750000,1500,Baguiati,2 BHK,Ready To Move,1,IDOTRR,1,1919,2005,8,2007,50,85,997,520,9,9,9,9,9,9,9,0,0,793,793,997,520,0,1517,1
110,Super built-up  Area,8100000,1800,New Town,2 BHK,19-Apr,0,NWAmes,2,1977,1977,1,2010,20,105,1844,0,9,9,9,9,9,9,9,705,0,1139,1844,1844,0,0,1844,1
111,Super built-up  Area,4500000,1000,Kasba,3 BHK,Ready To Move,0,Edwards,2,1954,1972,10,2006,50,75,1216,639,9,9,9,9,9,9,9,444,0,550,994,1216,639,0,1855,1
112,Super built-up  Area,5850000,1300,Mukundapur,3 BHK,Ready To Move,1,Gilbert,2,2000,2000,4,2010,80,NA,774,656,9,9,9,9,9,9,9,250,0,134,384,774,656,0,1430,1
113,Super built-up  Area,13500000,3000,Tiljala,2 BHK,Ready To Move,1,CollgCr,2,2007,2007,10,2007,60,77,1282,1414,9,9,9,9,9,9,9,984,0,280,1264,1282,1414,0,2696,1
114,Super built-up  Area,6750000,1500,Airport,3 BHK,Ready To Move,1,Crawfor,2,1953,1953,10,2007,20,NA,2259,0,9,9,9,9,9,9,9,35,869,905,1809,2259,0,0,2259,1
115,Built-up  Area,8100000,1800,East Kolkata Township,4 Bedroom,Ready To Move,1,Crawfor,2,1945,2002,7,2007,70,61,1436,884,9,9,9,9,9,9,9,774,150,104,1028,1436,884,0,2320,1
116,Built-up  Area,9000000,2000,New Town,3 Bedroom,Ready To Move,1,Somerst,2,1999,1999,6,2007,160,34,729,729,9,9,9,9,9,9,9,419,0,310,729,729,729,0,1458,1
117,Super built-up  Area,22500000,5000,Dum Dum,3 BHK,Ready To Move,1,Sawyer,2,1962,1962,9,2009,20,NA,1092,0,9,9,9,9,9,9,9,170,670,252,1092,1092,0,0,1092,1
118,Super built-up  Area,11250000,2500,raghunathpur,3 BHK,18-Dec,1,Edwards,1,2006,2007,4,2007,20,74,1125,0,9,9,9,9,9,9,9,0,0,1125,1125,1125,0,0,1125,1
119,Super built-up  Area,6750000,1500,Garia,2 BHK,18-Jun,1,SawyerW,1,1990,1990,5,2010,60,90,1699,1523,9,9,9,9,9,9,9,1470,0,203,1673,1699,1523,0,3222,1
120,Plot  Area,5850000,1300,Barasat,2 Bedroom,Ready To Move,0,CollgCr,3,2005,2006,7,2006,60,65,728,728,9,9,9,9,9,9,9,0,0,728,728,728,728,0,1456,1
121,Super built-up  Area,4725000,1050,Barasat,3 BHK,Ready To Move,1,ClearCr,2,1969,1969,10,2006,80,NA,988,0,9,9,9,9,9,9,9,938,0,0,938,988,0,0,988,1
122,Super built-up  Area,7200000,1600,Keshtopur,3 BHK,Ready To Move,0,IDOTRR,1,1939,1950,6,2007,50,50,772,351,9,9,9,9,9,9,9,0,0,732,732,772,351,0,1123,1
123,Super built-up  Area,5400000,1200,Keshtopur,4 BHK,18-Mar,0,NAmes,1,1958,1958,6,2008,20,75,1080,0,9,9,9,9,9,9,9,570,0,510,1080,1080,0,0,1080,1
124,Built-up  Area,15750000,3500,Keshtopur,4 BHK,Ready To Move,1,SawyerW,1,1993,1993,3,2008,120,55,1199,0,9,9,9,9,9,9,9,300,0,899,1199,1199,0,0,1199,1
125,Super built-up  Area,6075000,1350,Rajarhat,3 BHK,22-Dec,1,NWAmes,2,1979,1998,1,2009,20,48,1586,0,9,9,9,9,9,9,9,0,0,1362,1362,1586,0,0,1586,1
126,Built-up  Area,13801500,3067,Rajarhat,2 BHK,Ready To Move,1,IDOTRR,2,1935,1982,6,2006,190,60,520,0,9,9,9,9,9,9,9,490,0,30,520,520,0,234,754,1
127,Built-up  Area,8550000,1900,Rajarhat,3 BHK,Ready To Move,1,NPkVill,1,1976,1976,2,2007,120,NA,958,0,9,9,9,9,9,9,9,120,0,958,1078,958,0,0,958,1
128,Super built-up  Area,8100000,1800,New Town,2 BHK,22-Jan,0,OldTown,2,1930,1950,6,2007,45,55,840,0,9,9,9,9,9,9,9,116,0,556,672,840,0,0,840,1
129,Super built-up  Area,15750000,3500,New Town,2 BHK,Ready To Move,1,NAmes,1,1966,1966,7,2006,60,69,660,688,9,9,9,9,9,9,9,512,0,148,660,660,688,0,1348,1
130,Plot  Area,21600000,4800,New Town,7 Bedroom,Ready To Move,1,NAmes,1,1958,1991,7,2006,20,69,1053,0,9,9,9,9,9,9,9,567,28,413,1008,1053,0,0,1053,1
131,Built-up  Area,22500000,5000,New Town,3 BHK,Ready To Move,1,NAmes,1,1966,1966,5,2006,60,88,1216,941,9,9,9,9,9,9,9,445,0,479,924,1216,941,0,2157,1
132,Plot  Area,5850000,1300,Rajarhat,3 Bedroom,Ready To Move,1,Gilbert,2,2000,2000,7,2009,60,NA,1022,1032,9,9,9,9,9,9,9,695,0,297,992,1022,1032,0,2054,1
133,Super built-up  Area,9000000,2000,Rajarhat,2 BHK,Ready To Move,1,NAmes,2,1959,2002,7,2007,20,75,1327,0,9,9,9,9,9,9,9,405,0,658,1063,1327,0,0,1327,1
134,Plot  Area,5661000,1258,Rajarhat,4 Bedroom,Ready To Move,1,Timber,1,2001,2002,6,2009,20,NA,1296,0,9,9,9,9,9,9,9,1005,0,262,1267,1296,0,0,1296,1
